<><><><><><><><> 
Begin: 04-Mar-2014 12:16:07 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s27 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
0.996 0.297 0.662 
0.266 0.295 0.673 
0.417 0.295 0.608 
0.851 0.284 0.552 
0.233 0.284 0.628 
0.951 0.285 0.488 
0.783 0.295 0.608 
0.600 0.284 0.542 
0.668 0.296 0.563 
0.384 0.306 0.557 
0.568 0.296 0.476 
0.968 0.296 0.486 
0.634 0.296 0.541 
0.617 0.296 0.585 
0.383 0.295 0.870 
0.601 0.285 0.705 
0.702 0.296 0.409 
0.751 0.284 0.597 
0.518 0.296 0.509 
0.501 0.296 0.584 
1.000 0.285 0.552 
0.233 0.295 0.595 
0.917 0.285 0.366 
0.935 0.296 0.431 
0.834 0.296 0.520 
0.282 0.295 0.552 
0.418 0.285 0.399 
0.468 0.296 0.453 
0.750 0.296 0.409 
0.316 0.295 0.530 
0.784 0.284 0.573 
0.283 0.295 0.650 
0.718 0.306 0.448 
0.601 0.295 0.486 
0.833 0.285 0.487 
0.767 0.306 0.504 
0.918 0.307 0.536 
0.919 0.296 0.464 
0.468 0.296 0.772 
0.768 0.284 0.432 
0.367 0.284 0.836 
0.233 0.284 0.793 
0.800 0.295 0.565 
0.601 0.295 0.792 
0.585 0.296 0.475 
0.934 0.285 0.443 
0.683 0.307 0.581 
0.701 0.295 0.443 
0.884 0.295 0.454 
0.852 0.284 0.497 
0.668 0.296 0.496 
0.351 0.295 0.486 
0.401 0.284 0.497 
0.917 0.285 0.410 
0.233 0.284 0.695 
0.600 0.284 0.552 
0.335 0.295 0.595 
0.984 0.295 0.497 
0.767 0.295 0.509 
0.600 0.296 0.552 
0.583 0.295 0.476 
0.250 0.295 0.564 
0.751 0.295 0.499 
0.234 0.295 0.496 
0.267 0.284 0.464 
0.617 0.295 0.465 
0.284 0.295 0.617 
0.852 0.295 0.420 
0.851 0.296 0.432 
0.784 0.296 0.574 
0.317 0.296 0.737 
0.733 0.295 0.389 
0.616 0.296 0.476 
0.985 0.295 0.562 
0.717 0.296 0.388 
0.850 0.285 0.475 
0.566 0.296 0.476 
0.550 0.296 0.476 
0.867 0.285 0.464 
0.267 0.296 0.553 
0.317 0.284 0.453 
0.349 0.284 0.432 
0.517 0.295 0.455 
0.868 0.295 0.399 
0.851 0.284 0.596 
0.249 0.295 0.477 
0.517 0.295 0.398 
0.618 0.296 0.464 
0.534 0.296 0.410 
0.734 0.284 0.453 
0.700 0.296 0.454 
0.433 0.295 0.541 
0.550 0.295 0.497 
0.218 0.295 0.443 
0.985 0.296 0.432 
0.333 0.296 1.002 
0.284 0.296 0.475 
0.501 0.296 0.474 
0.367 0.285 0.607 
0.600 0.285 0.432 
0.468 0.295 0.431 
0.968 0.285 0.333 
0.935 0.295 0.366 
0.250 0.285 0.465 
0.801 0.285 0.510 
0.418 0.295 0.486 
0.535 0.306 0.372 
0.633 0.307 0.482 
0.951 0.296 0.563 
0.533 0.295 0.400 
0.984 0.296 0.444 
