<><><><><><><><> 
Begin: 07-Nov-2014 10:16:02 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s52 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.008 1.477 1.477 
0.416 1.082 1.082 
0.266 0.941 0.941 
0.584 1.061 1.061 
0.434 0.918 0.918 
0.384 1.159 1.159 
0.584 1.105 1.105 
0.467 0.831 0.831 
0.384 0.972 0.972 
0.534 0.809 0.809 
0.417 0.908 0.908 
0.417 1.181 1.181 
0.468 0.853 0.853 
0.350 1.410 1.410 
0.300 1.127 1.127 
0.434 1.202 1.202 
0.551 0.940 0.940 
0.367 1.115 1.115 
0.250 1.290 1.290 
0.384 0.853 0.853 
0.317 1.531 1.531 
0.367 1.235 1.235 
0.534 1.137 1.137 
0.367 1.346 1.346 
0.350 1.126 1.126 
0.350 1.378 1.378 
0.267 1.072 1.072 
0.300 1.487 1.487 
0.234 1.684 1.684 
0.366 1.302 1.302 
0.300 1.498 1.498 
0.317 0.908 0.908 
0.367 1.083 1.083 
0.251 0.996 0.996 
0.400 1.170 1.170 
0.484 1.290 1.290 
0.300 1.366 1.366 
0.517 1.574 1.574 
0.234 1.181 1.181 
0.367 1.673 1.673 
0.200 1.521 1.521 
0.284 1.848 1.848 
0.200 1.114 1.114 
0.284 2.297 2.297 
0.267 1.662 1.662 
0.317 1.684 1.684 
0.267 1.464 1.464 
0.250 1.892 1.892 
0.434 1.443 1.443 
0.567 2.493 2.493 
0.583 1.192 1.192 
0.284 1.325 1.325 
0.401 1.487 1.487 
0.350 1.986 1.986 
0.417 1.155 1.155 
0.301 2.205 2.205 
0.234 1.264 1.264 
0.383 1.203 1.203 
0.267 1.862 1.862 
0.217 1.486 1.486 
0.584 1.804 1.804 
0.367 0.885 0.885 
0.584 1.793 1.793 
0.501 1.464 1.464 
0.200 2.066 2.066 
0.468 1.519 1.519 
0.484 1.884 1.884 
0.467 1.365 1.365 
0.417 1.426 1.426 
0.284 1.300 1.300 
0.517 1.871 1.871 
0.300 2.361 2.361 
0.350 1.685 1.685 
0.551 1.902 1.902 
0.551 1.411 1.411 
0.368 1.367 1.367 
0.334 1.586 1.586 
0.451 2.132 2.132 
0.566 1.247 1.247 
0.567 1.007 1.007 
0.434 1.652 1.652 
0.333 1.728 1.728 
0.551 2.306 2.306 
0.384 1.290 1.290 
0.567 1.837 1.837 
0.217 1.945 1.945 
0.417 1.334 1.334 
0.484 1.334 1.334 
0.267 1.344 1.344 
0.333 1.301 1.301 
0.284 1.847 1.847 
0.334 1.388 1.388 
0.367 1.837 1.837 
0.416 1.706 1.706 
0.217 2.176 2.176 
0.417 1.695 1.695 
0.317 2.110 2.110 
0.300 2.809 2.809 
0.300 1.880 1.880 
0.267 1.946 1.946 
0.584 1.411 1.411 
0.584 2.187 2.187 
0.534 2.580 2.580 
0.500 1.454 1.454 
