<><><><><><><><> 
Begin: 07-Nov-2014 11:13:41 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s52 Run Number: 5 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 1.735 1.735 
0.417 1.237 1.237 
0.266 1.280 1.280 
0.584 2.823 2.823 
0.433 1.127 1.127 
0.384 1.204 1.204 
0.584 1.160 1.160 
0.467 1.116 1.116 
0.384 1.685 1.685 
0.534 0.886 0.886 
0.418 1.816 1.816 
0.417 1.378 1.378 
0.467 2.669 2.669 
0.351 0.755 0.755 
0.301 3.053 3.053 
0.434 2.966 2.966 
0.550 2.200 2.200 
0.367 2.999 2.999 
0.250 1.160 1.160 
0.384 1.915 1.915 
0.317 0.974 0.974 
0.367 1.883 1.883 
0.534 1.302 1.302 
0.367 1.380 1.380 
0.367 2.068 2.068 
0.350 1.073 1.073 
0.266 1.237 1.237 
0.301 1.893 1.893 
0.235 1.171 1.171 
0.368 2.561 2.561 
0.300 1.401 1.401 
0.318 1.543 1.543 
0.367 2.002 2.002 
0.251 1.752 1.752 
0.401 1.324 1.324 
0.484 1.542 1.542 
0.301 2.299 2.299 
0.517 2.343 2.343 
0.233 1.039 1.039 
0.367 1.357 1.357 
0.201 1.073 1.073 
0.284 0.941 0.941 
0.201 1.696 1.696 
0.283 2.310 2.310 
0.266 1.609 1.609 
0.317 1.860 1.860 
0.267 1.598 1.598 
0.251 1.553 1.553 
0.450 1.412 1.412 
0.567 1.193 1.193 
0.584 1.499 1.499 
0.284 1.116 1.116 
0.399 1.499 1.499 
0.350 1.346 1.346 
0.417 2.354 2.354 
0.301 1.193 1.193 
0.233 1.400 1.400 
0.383 1.850 1.850 
0.267 0.843 0.843 
0.217 1.652 1.652 
0.584 1.171 1.171 
0.368 1.708 1.708 
0.584 2.069 2.069 
0.501 2.210 2.210 
0.200 1.303 1.303 
0.468 1.927 1.927 
0.484 2.112 2.112 
0.467 2.440 2.440 
0.417 2.419 2.419 
0.283 0.777 0.777 
0.517 1.378 1.378 
0.300 1.335 1.335 
0.350 2.397 2.397 
0.567 1.641 1.641 
0.551 1.433 1.433 
0.368 0.952 0.952 
0.334 1.466 1.466 
0.451 1.662 1.662 
0.567 1.061 1.061 
0.567 3.271 3.271 
0.433 1.423 1.423 
0.334 1.084 1.084 
0.550 0.952 0.952 
0.385 2.704 2.704 
0.567 1.160 1.160 
0.217 1.193 1.193 
0.418 0.897 0.897 
0.484 1.489 1.489 
0.267 1.598 1.598 
0.333 1.170 1.170 
0.284 1.017 1.017 
0.334 0.930 0.930 
0.367 2.779 2.779 
0.417 1.674 1.674 
0.217 2.178 2.178 
0.417 1.248 1.248 
0.317 1.543 1.543 
0.301 1.488 1.488 
0.300 1.128 1.128 
0.268 1.313 1.313 
0.584 1.345 1.345 
0.584 1.324 1.324 
0.534 1.445 1.445 
0.500 1.323 1.323 
