<><><><><><><><> 
Begin: 07-Nov-2014 11:03:04 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s52 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.000 1.093 1.093 
0.417 1.619 1.619 
0.267 1.807 1.807 
0.584 2.561 2.561 
0.434 2.266 2.266 
0.383 1.345 1.345 
0.583 1.105 1.105 
0.468 1.357 1.357 
0.384 1.543 1.543 
0.533 2.999 2.999 
0.417 1.215 1.215 
0.417 1.239 1.239 
0.467 0.953 0.953 
0.351 3.393 3.393 
0.300 0.985 0.985 
0.435 3.785 3.785 
0.551 1.697 1.697 
0.367 1.041 1.041 
0.250 2.320 2.320 
0.384 2.484 2.484 
0.317 0.919 0.919 
0.367 1.324 1.324 
0.534 1.095 1.095 
0.368 1.827 1.827 
0.366 0.941 0.941 
0.351 2.616 2.616 
0.250 2.923 2.923 
0.300 1.161 1.161 
0.234 1.149 1.149 
0.368 1.193 1.193 
0.300 2.869 2.869 
0.318 2.233 2.233 
0.367 1.182 1.182 
0.251 2.749 2.749 
0.400 2.068 2.068 
0.484 1.292 1.292 
0.300 3.240 3.240 
0.517 2.462 2.462 
0.233 1.039 1.039 
0.367 1.007 1.007 
0.201 0.930 0.930 
0.284 1.215 1.215 
0.200 2.233 2.233 
0.283 1.117 1.117 
0.267 3.392 3.392 
0.316 1.237 1.237 
0.267 1.181 1.181 
0.250 2.913 2.913 
0.450 1.225 1.225 
0.567 1.237 1.237 
0.584 1.094 1.094 
0.283 1.259 1.259 
0.401 3.394 3.394 
0.350 2.134 2.134 
0.417 3.087 3.087 
0.301 1.281 1.281 
0.234 1.116 1.116 
0.384 2.353 2.353 
0.267 1.127 1.127 
0.217 1.117 1.117 
0.584 1.784 1.784 
0.383 1.008 1.008 
0.584 1.511 1.511 
0.500 0.875 0.875 
0.200 1.040 1.040 
0.467 1.095 1.095 
0.484 1.806 1.806 
0.467 1.193 1.193 
0.417 2.266 2.266 
0.284 2.311 2.311 
0.517 1.313 1.313 
0.300 1.292 1.292 
0.350 0.952 0.952 
0.551 0.920 0.920 
0.551 1.773 1.773 
0.368 2.025 2.025 
0.334 1.051 1.051 
0.451 3.118 3.118 
0.567 1.104 1.104 
0.567 2.724 2.724 
0.434 1.294 1.294 
0.334 1.927 1.927 
0.551 1.094 1.094 
0.383 1.205 1.205 
0.567 2.155 2.155 
0.217 1.478 1.478 
0.417 1.291 1.291 
0.483 1.915 1.915 
0.267 2.166 2.166 
0.333 1.269 1.269 
0.283 2.693 2.693 
0.334 1.126 1.126 
0.367 1.193 1.193 
0.417 1.578 1.578 
0.217 1.380 1.380 
0.418 1.425 1.425 
0.318 0.887 0.887 
0.301 1.970 1.970 
0.300 1.084 1.084 
0.268 1.358 1.358 
0.584 1.204 1.204 
0.583 1.050 1.050 
0.534 2.615 2.615 
0.501 1.150 1.150 
