<><><><><><><><> 
Begin: 24-Nov-2014 10:53:18 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s59 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.708 1.708 
0.534 1.490 1.490 
0.568 1.512 1.512 
0.250 2.079 2.079 
0.568 1.555 1.555 
0.452 1.741 1.741 
0.234 1.282 1.282 
0.317 1.435 1.435 
0.417 1.392 1.392 
0.583 1.380 1.380 
0.584 1.029 1.029 
0.267 1.589 1.589 
0.585 1.031 1.031 
0.584 1.391 1.391 
0.400 1.447 1.447 
0.517 1.314 1.314 
0.266 1.096 1.096 
0.367 2.148 2.148 
0.567 1.730 1.730 
0.517 1.446 1.446 
0.584 1.052 1.052 
0.467 1.390 1.390 
0.217 1.546 1.546 
0.550 1.380 1.380 
0.584 1.566 1.566 
0.467 1.195 1.195 
0.502 2.312 2.312 
0.500 1.840 1.840 
0.367 1.873 1.873 
0.467 1.359 1.359 
0.267 1.281 1.281 
0.483 1.030 1.030 
0.218 1.118 1.118 
0.318 1.303 1.303 
0.217 1.324 1.324 
0.234 1.074 1.074 
0.534 1.139 1.139 
0.483 1.456 1.456 
0.333 1.106 1.106 
0.584 1.577 1.577 
0.217 1.194 1.194 
0.383 1.304 1.304 
0.350 1.665 1.665 
0.501 1.381 1.381 
0.518 1.719 1.719 
0.284 1.228 1.228 
0.400 2.115 2.115 
0.384 1.479 1.479 
0.466 0.920 0.920 
0.484 1.588 1.588 
0.500 1.237 1.237 
0.317 1.084 1.084 
0.467 1.829 1.829 
0.468 1.226 1.226 
0.268 1.052 1.052 
0.251 1.523 1.523 
0.400 1.620 1.620 
0.585 1.709 1.709 
0.333 1.096 1.096 
0.433 1.687 1.687 
0.300 1.643 1.643 
0.501 1.611 1.611 
0.300 1.281 1.281 
0.401 1.107 1.107 
0.483 1.151 1.151 
0.552 2.017 2.017 
0.584 1.501 1.501 
0.418 2.092 2.092 
0.250 1.621 1.621 
0.267 1.937 1.937 
0.301 1.511 1.511 
0.534 1.830 1.830 
0.300 1.763 1.763 
0.533 1.971 1.971 
0.301 2.300 2.300 
0.567 1.216 1.216 
0.334 1.533 1.533 
0.284 1.161 1.161 
0.300 2.299 2.299 
0.451 1.490 1.490 
0.384 1.675 1.675 
0.350 1.829 1.829 
0.534 1.928 1.928 
0.434 1.161 1.161 
0.417 2.431 2.431 
0.567 1.107 1.107 
0.317 2.279 2.279 
0.500 1.424 1.424 
0.500 1.655 1.655 
0.350 1.062 1.062 
0.434 1.884 1.884 
0.233 2.148 2.148 
0.216 1.642 1.642 
0.417 1.468 1.468 
0.518 1.161 1.161 
0.583 1.928 1.928 
0.250 1.117 1.117 
0.434 1.281 1.281 
0.384 1.424 1.424 
0.201 1.457 1.457 
0.333 1.129 1.129 
0.266 1.062 1.062 
0.517 1.654 1.654 
0.333 1.171 1.171 
