<><><><><><><><> 
Begin: 24-Nov-2014 10:34:45 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s59 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.360 1.360 
0.534 2.180 2.180 
0.568 1.632 1.632 
0.250 1.754 1.754 
0.567 1.731 1.731 
0.450 1.358 1.358 
0.249 1.708 1.708 
0.318 1.982 1.982 
0.416 1.643 1.643 
0.584 2.016 2.016 
0.584 1.708 1.708 
0.267 1.129 1.129 
0.584 1.522 1.522 
0.584 1.314 1.314 
0.401 1.413 1.413 
0.517 1.785 1.785 
0.267 1.796 1.796 
0.368 2.082 2.082 
0.567 1.741 1.741 
0.517 1.775 1.775 
0.584 1.709 1.709 
0.467 2.355 2.355 
0.216 2.913 2.913 
0.550 2.069 2.069 
0.584 1.303 1.303 
0.466 2.474 2.474 
0.501 1.774 1.774 
0.500 2.312 2.312 
0.366 2.025 2.025 
0.467 1.699 1.699 
0.267 1.807 1.807 
0.483 1.600 1.600 
0.217 1.654 1.654 
0.317 1.900 1.900 
0.217 1.819 1.819 
0.234 1.392 1.392 
0.534 2.631 2.631 
0.484 1.130 1.130 
0.334 1.908 1.908 
0.585 1.841 1.841 
0.216 2.311 2.311 
0.383 1.862 1.862 
0.351 1.523 1.523 
0.517 1.325 1.325 
0.517 1.500 1.500 
0.284 2.465 2.465 
0.400 1.762 1.762 
0.384 1.391 1.391 
0.467 1.589 1.589 
0.484 2.300 2.300 
0.501 0.987 0.987 
0.317 1.314 1.314 
0.468 1.304 1.304 
0.468 1.347 1.347 
0.267 1.237 1.237 
0.250 1.315 1.315 
0.401 1.128 1.128 
0.584 1.140 1.140 
0.334 1.391 1.391 
0.434 1.084 1.084 
0.284 1.347 1.347 
0.501 1.380 1.380 
0.300 1.216 1.216 
0.400 1.270 1.270 
0.484 0.866 0.866 
0.567 1.281 1.281 
0.585 1.106 1.106 
0.417 1.282 1.282 
0.250 1.282 1.282 
0.267 1.368 1.368 
0.301 1.216 1.216 
0.534 0.931 0.931 
0.301 1.062 1.062 
0.534 1.173 1.173 
0.300 1.238 1.238 
0.567 1.129 1.129 
0.350 1.150 1.150 
0.283 1.151 1.151 
0.300 1.325 1.325 
0.450 1.216 1.216 
0.400 1.216 1.216 
0.350 1.150 1.150 
0.534 1.249 1.249 
0.433 1.282 1.282 
0.417 1.313 1.313 
0.567 1.195 1.195 
0.317 1.063 1.063 
0.500 1.851 1.851 
0.501 1.446 1.446 
0.350 1.336 1.336 
0.434 1.456 1.456 
0.233 2.102 2.102 
0.217 1.446 1.446 
0.417 1.040 1.040 
0.517 1.424 1.424 
0.583 1.436 1.436 
0.251 1.501 1.501 
0.434 1.830 1.830 
0.384 1.248 1.248 
0.199 2.213 2.213 
0.334 1.303 1.303 
0.266 2.235 2.235 
0.517 1.533 1.533 
0.333 1.895 1.895 
