<><><><><><><><> 
Begin: 01-Oct-2014 18:00:19 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s21 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.003 2.024 2.024 
0.532 2.546 2.546 
0.567 1.454 1.454 
0.250 2.108 2.108 
0.567 1.825 1.825 
0.450 1.924 1.924 
0.234 2.690 2.690 
0.317 2.229 2.229 
0.417 1.421 1.421 
0.584 1.979 1.979 
0.584 2.539 2.539 
0.266 1.509 1.509 
0.584 1.837 1.837 
0.584 1.291 1.291 
0.399 1.988 1.988 
0.517 1.083 1.083 
0.267 1.148 1.148 
0.367 1.246 1.246 
0.567 1.367 1.367 
0.517 1.279 1.279 
0.584 1.355 1.355 
0.467 1.695 1.695 
0.217 1.640 1.640 
0.550 1.334 1.334 
0.583 1.531 1.531 
0.467 1.532 1.532 
0.501 1.826 1.826 
0.501 2.035 2.035 
0.367 1.958 1.958 
0.467 1.967 1.967 
0.267 1.028 1.028 
0.484 1.170 1.170 
0.217 1.477 1.477 
0.317 2.110 2.110 
0.217 2.065 2.065 
0.234 1.257 1.257 
0.533 0.831 0.831 
0.484 1.760 1.760 
0.333 1.914 1.914 
0.584 2.109 2.109 
0.218 1.313 1.313 
0.384 1.574 1.574 
0.350 1.115 1.115 
0.501 2.286 2.286 
0.517 1.607 1.607 
0.284 1.093 1.093 
0.400 1.137 1.137 
0.384 1.072 1.072 
0.467 0.766 0.766 
0.484 0.743 0.743 
0.501 0.973 0.973 
0.317 0.853 0.853 
0.468 1.531 1.531 
0.466 0.787 0.787 
0.268 1.159 1.159 
0.250 0.962 0.962 
0.401 0.744 0.744 
0.584 0.984 0.984 
0.334 0.952 0.952 
0.434 1.171 1.171 
0.284 1.979 1.979 
0.501 0.918 0.918 
0.300 1.051 1.051 
0.400 1.214 1.214 
0.484 1.497 1.497 
0.567 1.707 1.707 
0.584 1.771 1.771 
0.416 1.017 1.017 
0.266 1.640 1.640 
0.267 1.771 1.771 
0.300 1.323 1.323 
0.534 0.994 0.994 
0.300 0.962 0.962 
0.534 1.466 1.466 
0.300 1.323 1.323 
0.568 1.607 1.607 
0.349 0.995 0.995 
0.284 0.929 0.929 
0.299 1.060 1.060 
0.450 1.018 1.018 
0.399 1.006 1.006 
0.350 1.563 1.563 
0.534 1.357 1.357 
0.434 1.137 1.137 
0.417 1.345 1.345 
0.567 0.810 0.810 
0.317 1.105 1.105 
0.501 1.749 1.749 
0.501 1.071 1.071 
0.350 1.880 1.880 
0.433 0.951 0.951 
0.233 1.192 1.192 
0.218 1.312 1.312 
0.417 1.081 1.081 
0.517 1.247 1.247 
0.584 2.012 2.012 
0.250 1.323 1.323 
0.433 1.608 1.608 
0.384 0.885 0.885 
0.200 0.951 0.951 
0.334 0.853 0.853 
0.267 1.028 1.028 
0.517 0.787 0.787 
0.334 1.006 1.006 
