405.95,282.38,408.85,414.28,474.62,346.32,545.77,294.48,545.16,395.67
305.53,224.54,302.57,313.41,361.36,265.23,403.29,242.13,399.78,301.94
314.43,198.97,311.61,328.5,386.41,261.61,451.98,213.46,451.98,321.42
308.94,171.92,311.11,290.52,398.8,226.62,448.16,172.19,447.32,285.09
309.85,178.3,332.42,316.88,401.32,242.42,457.18,168.66,469.37,287.97
278.82,195.45,267.57,316.11,351.58,256.93,414.96,195.9,409.14,329.2
283.34,191.15,279.3,305.07,349.41,244.64,412.06,199.36,409.32,301.47
291.41,194.02,290.03,316.14,348.89,247.46,418.66,203.14,419.35,296.61
299.28,178.49,291.64,283.07,354.71,236.53,405.85,194.65,400.42,282.43
406.14,276.25,405.14,420.77,475.64,349.31,562.69,288.57,561.34,408.85
405.81,278.57,410.71,414.8,482.08,350.37,556.44,283.39,560.69,401.77
404.07,277.7,410.97,412.39,471.97,350.97,554.72,293.8,558.88,398.16
406.96,281.26,409.08,410.36,475.55,346.54,554.38,293.14,553.07,397.59
412.28,275.82,406.11,415.13,473.84,352.14,568.48,291.18,562.93,410.56
405.82,281.68,411.42,419.13,487.48,344.15,563.58,287.98,568.44,389.82
402.3,278.42,409.42,413.16,487.55,343.61,553.45,290.6,553.8,402.25
408.89,280.42,411.27,412.09,498.96,342.55,568.68,295.02,572.85,397
406.85,285.38,404.89,412.66,488.76,346.11,551.88,291.41,552.84,405.36
406.5,277.34,409.32,420.38,492.03,343.36,572.87,281.8,572.22,402.96
405.16,275.01,408.98,412.79,487.81,340.21,559.53,287.86,558.62,394.3
153.54,90.418,154.28,151.41,179.89,121.59,213.11,93.891,215.27,148.76
408.93,282.08,413.44,420.43,486.2,348.29,561.52,282.51,565.69,398.03
406.19,273.93,408.91,420.16,498.05,338.68,567.39,283.92,571.87,397.67
412.77,285.02,412.77,401.66,477.16,348,547.04,295.98,547.09,396.21
151.15,90.652,151.62,151.4,189.62,123.13,222.05,93.043,224.44,145.7
411.4,285.75,412.49,405.9,480.86,342.39,546.71,295.94,545.33,397.88
418.04,286.05,418.78,407.6,488.25,344.52,556.8,294.03,559.27,398.47
152.42,91.559,154.5,150.86,180.5,121.77,207.81,90.852,206.38,150.37
410.95,283.66,413.12,406.69,482.98,338.23,552.14,292,552.18,384.78
203.07,274.08,201.5,359.25,252.6,317.82,295.06,287.12,292.5,356.33
183.47,285.77,177.31,371.76,230.86,332.2,271.23,297.68,264.25,371.34
177.47,291.07,174.69,385.05,217.59,342.07,278.4,299.53,271.15,383.76
200.02,272.36,190.03,356.84,235.36,313.25,289.54,283.29,280.56,359.65
178.47,284.4,178.09,366.15,225.33,326.94,270.35,289.77,271.74,358.11
158.91,294.56,162.69,386.46,199.11,340.18,257.86,296.41,259.94,378.06
238.5,294.8,240.19,387.39,292.07,340.2,326.67,293.49,331.58,378.49
199.35,288.42,202.43,373.75,250.19,340.58,294.25,293.21,298.38,364.89
194.95,282.93,193.6,362.8,239.4,327.46,286.67,291,285.1,358.41
187.38,273.75,188.42,365.44,234.87,320.64,284.67,276.31,282.71,357.58
206.09,280.73,204.17,369.94,264.6,321.54,302.31,290.15,302.87,362.77
196.95,294.75,193.87,379.71,247.39,339.16,289.88,304.07,287.84,372.54
200.9,288.86,201.81,374.42,243.36,331.36,288.46,292.81,287.42,361.66
200.99,278.75,196.6,365.05,243.44,324.55,286.5,286.39,283.54,358.23
192.68,293.46,189.56,369.82,232.58,332.13,271.34,300.87,270.29,363.68
160.8,286.41,163.14,378.09,207.58,336.93,251.6,290.05,254.03,367.02
179.66,269.73,174.57,370.91,216.51,323.98,276.46,284.21,272.73,360.23
199.66,277.31,196.49,366.31,239.95,323.25,298.25,289.34,292.82,355.1
218.36,281.08,212.15,368.02,270.12,330.16,315.88,289.04,308.19,365.7
276.12,323.51,269.57,433.12,330.73,381.85,387.74,342.51,382.53,421.65
261.99,346.23,258.55,450.93,313.52,402.23,375.55,364.84,372.2,439.25
308.33,323.82,311.46,433.57,370.8,377,431.27,329.46,432.13,419.84
268.23,363.38,270.35,468.48,334.9,413.12,391.2,358.72,396.58,461.27
271.34,338.72,264.04,465.21,326.34,398.31,397.69,353.46,391.79,453.43
272.83,349,265.62,450.4,320.11,408.43,376.46,359.54,373.64,454.32
259.31,352.22,259.35,455.98,314.1,405.66,375.27,359.48,375.05,449.6
275.44,323.92,271.83,430.38,340.69,384.1,389.48,334.44,383.97,429.55
325.18,333.69,325.57,443.22,394.52,391.82,442.09,344.63,443.48,429.07
300.36,317.63,301.88,426.52,363.56,369.69,429.55,327.94,429.81,413.24
259.73,361.02,253.6,475.45,324.85,417.01,386.8,373.42,389.19,466.57
275.88,329.83,275.62,454.85,334.57,389.32,390.83,334.37,391.18,446.07
270.23,357.78,276.52,461.14,339.64,413.65,376.46,350.71,384.79,455.11
233.24,336.55,237.84,444.78,291.5,392.85,347.55,342.93,347.55,428.93
273.97,310.24,271.71,412.48,327.49,359.08,395.12,316.58,388.88,411.26
279.21,323.48,278.9,447.46,341.11,378.86,412.52,336.28,410.43,430.91
268.22,326.43,265.05,431.26,318.49,380.07,388.34,340.22,383.12,425.57
284.82,332.93,289.15,449.92,345.76,392.27,405.39,342.04,409.6,429.03
276.64,339.9,272.82,439.14,332.71,390.49,389.28,347.21,383.2,435.29
