<><><><><><><><> 
Begin: 23-Oct-2014 09:06:56 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s39 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 2.000 2.000 
0.532 1.387 1.387 
0.567 1.651 1.651 
0.251 2.414 2.414 
0.566 1.891 1.891 
0.449 1.235 1.235 
0.234 2.055 2.055 
0.317 2.438 2.438 
0.417 1.071 1.071 
0.584 1.126 1.126 
0.584 1.627 1.627 
0.267 1.301 1.301 
0.584 1.660 1.660 
0.584 1.650 1.650 
0.400 1.640 1.640 
0.517 2.054 2.054 
0.267 1.650 1.650 
0.367 1.016 1.016 
0.568 1.082 1.082 
0.517 0.864 0.864 
0.584 0.918 0.918 
0.466 0.907 0.907 
0.217 1.148 1.148 
0.550 1.366 1.366 
0.583 1.148 1.148 
0.467 1.006 1.006 
0.501 1.071 1.071 
0.499 1.715 1.715 
0.366 1.158 1.158 
0.467 1.475 1.475 
0.266 1.060 1.060 
0.485 1.738 1.738 
0.217 1.355 1.355 
0.317 0.885 0.885 
0.217 0.853 0.853 
0.234 1.367 1.367 
0.534 1.289 1.289 
0.483 1.279 1.279 
0.334 1.159 1.159 
0.584 0.809 0.809 
0.217 0.897 0.897 
0.384 0.974 0.974 
0.350 1.126 1.126 
0.501 1.082 1.082 
0.517 1.028 1.028 
0.284 1.018 1.018 
0.400 0.885 0.885 
0.384 1.071 1.071 
0.467 0.972 0.972 
0.484 1.048 1.048 
0.501 1.017 1.017 
0.317 1.093 1.093 
0.483 1.060 1.060 
0.467 0.754 0.754 
0.267 1.191 1.191 
0.250 1.060 1.060 
0.400 1.813 1.813 
0.584 0.885 0.885 
0.334 1.170 1.170 
0.434 1.868 1.868 
0.284 1.333 1.333 
0.501 0.929 0.929 
0.300 1.377 1.377 
0.400 1.432 1.432 
0.484 0.864 0.864 
0.567 0.821 0.821 
0.584 0.732 0.732 
0.416 1.027 1.027 
0.266 1.136 1.136 
0.266 0.874 0.874 
0.300 1.575 1.575 
0.534 0.972 0.972 
0.300 1.026 1.026 
0.534 1.235 1.235 
0.300 1.104 1.104 
0.567 0.764 0.764 
0.350 0.776 0.776 
0.284 0.842 0.842 
0.300 0.689 0.689 
0.450 0.840 0.840 
0.384 0.863 0.863 
0.350 1.924 1.924 
0.534 1.179 1.179 
0.433 1.672 1.672 
0.417 1.312 1.312 
0.568 1.017 1.017 
0.317 1.443 1.443 
0.501 0.754 0.754 
0.500 1.661 1.661 
0.350 1.356 1.356 
0.434 1.783 1.783 
0.233 1.201 1.201 
0.217 2.361 2.361 
0.417 2.472 2.472 
0.517 0.666 0.666 
0.584 0.832 0.832 
0.249 1.017 1.017 
0.434 1.041 1.041 
0.384 0.799 0.799 
0.199 0.668 0.668 
0.335 0.544 0.544 
0.267 0.582 0.582 
0.518 1.047 1.047 
0.333 0.984 0.984 
