<><><><><><><><> 
Begin: 23-Oct-2014 09:36:05 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s39 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.384 1.384 
0.533 0.656 0.656 
0.568 0.601 0.601 
0.251 1.072 1.072 
0.568 0.657 0.657 
0.450 0.787 0.787 
0.234 0.777 0.777 
0.318 0.842 0.842 
0.418 0.569 0.569 
0.584 0.612 0.612 
0.585 0.580 0.580 
0.266 0.711 0.711 
0.584 0.754 0.754 
0.585 1.532 1.532 
0.400 0.612 0.612 
0.517 0.657 0.657 
0.267 0.777 0.777 
0.367 0.657 0.657 
0.567 0.756 0.756 
0.516 1.225 1.225 
0.585 0.875 0.875 
0.467 0.755 0.755 
0.216 0.634 0.634 
0.534 0.799 0.799 
0.584 0.547 0.547 
0.467 0.645 0.645 
0.501 0.733 0.733 
0.501 0.579 0.579 
0.367 1.159 1.159 
0.467 0.613 0.613 
0.266 0.930 0.930 
0.483 0.689 0.689 
0.217 0.831 0.831 
0.317 0.701 0.701 
0.217 0.634 0.634 
0.235 0.810 0.810 
0.534 0.678 0.678 
0.484 1.576 1.576 
0.334 0.865 0.865 
0.584 0.919 0.919 
0.216 0.864 0.864 
0.384 0.875 0.875 
0.350 0.656 0.656 
0.502 1.093 1.093 
0.517 0.756 0.756 
0.283 0.722 0.722 
0.401 0.591 0.591 
0.384 0.668 0.668 
0.467 0.810 0.810 
0.483 0.875 0.875 
0.501 0.558 0.558 
0.317 0.601 0.601 
0.467 0.711 0.711 
0.467 0.526 0.526 
0.267 0.634 0.634 
0.251 0.766 0.766 
0.400 0.744 0.744 
0.584 0.820 0.820 
0.335 0.602 0.602 
0.434 1.214 1.214 
0.285 0.754 0.754 
0.501 0.711 0.711 
0.301 1.160 1.160 
0.400 0.623 0.623 
0.484 0.940 0.940 
0.567 0.984 0.984 
0.584 2.864 2.864 
0.417 1.029 1.029 
0.250 0.832 0.832 
0.266 0.602 0.602 
0.300 0.536 0.536 
0.535 0.690 0.690 
0.300 0.623 0.623 
0.533 0.798 0.798 
0.300 0.481 0.481 
0.567 0.853 0.853 
0.334 0.580 0.580 
0.284 0.799 0.799 
0.300 0.504 0.504 
0.451 0.668 0.668 
0.385 0.864 0.864 
0.350 0.438 0.438 
0.534 0.646 0.646 
0.434 0.514 0.514 
0.418 1.149 1.149 
0.568 0.701 0.701 
0.317 0.656 0.656 
0.501 0.482 0.482 
0.501 0.634 0.634 
0.350 0.624 0.624 
0.434 0.613 0.613 
0.234 0.865 0.865 
0.217 3.523 3.523 
0.417 0.667 0.667 
0.516 0.711 0.711 
0.583 0.536 0.536 
0.251 0.766 0.766 
0.434 0.570 0.570 
0.383 0.656 0.656 
0.201 0.820 0.820 
0.333 0.842 0.842 
0.267 0.656 0.656 
0.517 0.623 0.623 
0.333 0.777 0.777 
