<><><><><><><><> 
Begin: 23-Oct-2014 09:49:16 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s39 Run Number: 6 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 1.345 1.345 
0.534 0.798 0.798 
0.567 0.645 0.645 
0.250 1.257 1.257 
0.567 0.547 0.547 
0.451 1.466 1.466 
0.234 0.645 0.645 
0.317 0.732 0.732 
0.418 0.842 0.842 
0.585 1.094 1.094 
0.584 0.810 0.810 
0.266 0.755 0.755 
0.584 0.711 0.711 
0.585 0.689 0.689 
0.401 0.536 0.536 
0.517 0.645 0.645 
0.267 0.568 0.568 
0.367 0.733 0.733 
0.567 0.580 0.580 
0.518 1.149 1.149 
0.584 0.722 0.722 
0.467 0.766 0.766 
0.216 0.886 0.886 
0.535 0.635 0.635 
0.583 0.733 0.733 
0.468 0.580 0.580 
0.501 0.668 0.668 
0.501 0.799 0.799 
0.367 0.591 0.591 
0.467 0.481 0.481 
0.266 0.929 0.929 
0.484 0.580 0.580 
0.217 0.930 0.930 
0.316 0.941 0.941 
0.217 0.777 0.777 
0.234 0.865 0.865 
0.534 0.831 0.831 
0.483 0.941 0.941 
0.333 0.853 0.853 
0.584 0.974 0.974 
0.216 0.920 0.920 
0.383 1.083 1.083 
0.350 0.743 0.743 
0.501 0.646 0.646 
0.517 0.645 0.645 
0.283 1.335 1.335 
0.401 0.831 0.831 
0.384 1.106 1.106 
0.466 0.800 0.800 
0.484 0.536 0.536 
0.500 1.017 1.017 
0.317 0.514 0.514 
0.468 0.613 0.613 
0.467 0.951 0.951 
0.267 0.744 0.744 
0.250 0.798 0.798 
0.400 0.787 0.787 
0.585 0.744 0.744 
0.333 0.941 0.941 
0.434 0.778 0.778 
0.299 0.700 0.700 
0.501 0.657 0.657 
0.301 0.754 0.754 
0.400 1.105 1.105 
0.483 0.700 0.700 
0.551 0.656 0.656 
0.584 0.525 0.525 
0.417 1.389 1.389 
0.251 0.875 0.875 
0.266 0.711 0.711 
0.300 0.865 0.865 
0.534 0.919 0.919 
0.300 0.930 0.930 
0.533 0.974 0.974 
0.300 1.018 1.018 
0.568 0.875 0.875 
0.350 0.722 0.722 
0.285 0.853 0.853 
0.301 0.612 0.612 
0.451 0.635 0.635 
0.399 1.215 1.215 
0.350 0.601 0.601 
0.533 0.886 0.886 
0.434 0.755 0.755 
0.418 0.688 0.688 
0.567 2.253 2.253 
0.317 0.842 0.842 
0.501 0.678 0.678 
0.501 0.907 0.907 
0.350 0.897 0.897 
0.434 0.635 0.635 
0.234 0.711 0.711 
0.217 0.809 0.809 
0.417 0.832 0.832 
0.517 0.711 0.711 
0.584 0.601 0.601 
0.250 0.962 0.962 
0.433 0.711 0.711 
0.383 0.886 0.886 
0.200 0.941 0.941 
0.334 0.832 0.832 
0.267 0.908 0.908 
0.518 0.799 0.799 
0.333 0.744 0.744 
