<><><><><><><><> 
Begin: 08-Mar-2014 11:13:35 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s34 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.291 0.542 
0.267 0.295 0.529 
0.417 0.295 0.377 
0.851 0.284 0.574 
0.233 0.284 0.989 
0.951 0.284 0.551 
0.784 0.274 0.274 
0.601 0.284 0.443 
0.667 0.295 0.519 
0.384 0.306 0.579 
0.567 0.296 0.355 
0.968 0.252 0.252 
0.634 0.295 0.295 
0.617 0.295 0.377 
0.384 0.295 0.377 
0.601 0.284 0.377 
0.701 0.273 0.273 
0.751 0.284 0.541 
0.517 0.295 0.464 
0.500 0.295 0.399 
1.001 0.284 0.344 
0.234 0.296 0.530 
0.918 0.285 0.311 
0.934 0.295 0.508 
0.834 0.295 0.432 
0.283 0.295 0.366 
0.417 0.284 0.464 
0.467 0.295 0.377 
0.751 0.273 0.273 
0.316 0.295 0.421 
0.784 0.263 0.263 
0.284 0.295 0.355 
0.718 0.230 0.230 
0.601 0.274 0.274 
0.818 0.306 0.328 
0.768 0.295 0.295 
0.934 0.284 0.322 
0.918 0.295 0.475 
0.467 0.296 0.296 
0.766 0.295 0.366 
0.367 0.284 0.311 
0.232 0.284 0.388 
0.801 0.252 0.252 
0.601 0.230 0.230 
0.584 0.295 0.312 
0.934 0.284 0.377 
0.684 0.306 0.329 
0.702 0.284 0.343 
0.884 0.284 0.284 
0.851 0.295 0.295 
0.667 0.295 0.322 
0.350 0.295 0.421 
0.400 0.284 0.377 
0.918 0.284 0.333 
0.234 0.284 0.453 
0.601 0.284 0.355 
0.334 0.295 0.311 
0.984 0.263 0.263 
0.769 0.284 0.284 
0.601 0.295 0.344 
0.584 0.295 0.322 
0.250 0.295 0.377 
0.750 0.240 0.240 
0.234 0.295 0.355 
0.267 0.285 0.344 
0.617 0.295 0.311 
0.284 0.251 0.251 
0.851 0.240 0.240 
0.851 0.273 0.273 
0.785 0.230 0.230 
0.317 0.295 0.311 
0.733 0.295 0.388 
0.617 0.273 0.273 
0.984 0.295 0.344 
0.716 0.251 0.251 
0.835 0.263 0.263 
0.567 0.208 0.208 
0.551 0.273 0.273 
0.868 0.252 0.252 
0.267 0.295 0.344 
0.301 0.252 0.252 
0.334 0.285 0.285 
0.517 0.295 0.311 
0.867 0.252 0.252 
0.851 0.284 0.311 
0.250 0.295 0.421 
0.517 0.295 0.312 
0.617 0.307 0.393 
0.534 0.230 0.230 
0.734 0.284 0.284 
0.702 0.241 0.241 
0.433 0.295 0.464 
0.550 0.284 0.284 
0.217 0.295 0.322 
0.984 0.252 0.252 
0.334 0.295 0.344 
0.284 0.295 0.344 
0.501 0.077 0.077 
0.367 0.284 0.508 
0.601 0.273 0.273 
0.467 0.306 0.393 
0.968 0.295 0.399 
0.934 0.295 0.453 
0.250 0.284 0.377 
0.801 0.284 0.366 
0.417 0.262 0.262 
0.534 0.241 0.241 
0.635 0.241 0.241 
0.951 0.229 0.229 
0.534 0.208 0.208 
0.984 0.295 0.344 
