<><><><><><><><> 
Begin: 08-Mar-2014 11:18:14 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s34 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 0.290 0.445 
0.267 0.299 0.523 
0.416 0.295 0.464 
0.851 0.284 0.508 
0.233 0.284 0.432 
0.951 0.284 0.453 
0.784 0.295 0.573 
0.601 0.284 0.530 
0.667 0.295 0.508 
0.384 0.307 0.382 
0.567 0.295 0.475 
0.968 0.295 0.509 
0.634 0.295 0.454 
0.617 0.295 0.508 
0.384 0.295 0.597 
0.601 0.284 0.475 
0.701 0.295 0.519 
0.751 0.284 0.497 
0.517 0.296 0.563 
0.500 0.295 0.651 
1.001 0.284 0.519 
0.234 0.295 0.410 
0.918 0.284 0.377 
0.934 0.295 0.388 
0.833 0.306 0.590 
0.284 0.295 0.596 
0.417 0.284 0.377 
0.467 0.295 0.563 
0.751 0.295 0.617 
0.317 0.284 0.574 
0.784 0.295 0.694 
0.284 0.295 0.508 
0.718 0.306 0.612 
0.601 0.295 0.563 
0.817 0.306 0.514 
0.768 0.307 0.611 
0.918 0.307 0.579 
0.918 0.296 0.628 
0.467 0.296 0.497 
0.767 0.284 0.574 
0.366 0.284 0.639 
0.234 0.284 0.836 
0.801 0.295 0.377 
0.601 0.295 0.508 
0.584 0.295 0.574 
0.934 0.285 0.486 
0.684 0.306 0.503 
0.701 0.295 0.607 
0.884 0.295 0.628 
0.850 0.295 0.564 
0.667 0.295 0.595 
0.350 0.295 0.705 
0.400 0.284 0.399 
0.918 0.284 0.475 
0.218 0.306 0.600 
0.601 0.284 0.464 
0.333 0.295 0.552 
0.985 0.296 0.387 
0.768 0.295 0.585 
0.601 0.295 0.551 
0.584 0.295 0.683 
0.251 0.296 0.563 
0.751 0.295 0.585 
0.235 0.295 0.638 
0.267 0.284 0.694 
0.617 0.295 0.508 
0.284 0.295 0.508 
0.851 0.306 0.514 
0.851 0.295 0.661 
0.784 0.295 0.399 
0.317 0.295 0.519 
0.734 0.295 0.311 
0.617 0.295 0.552 
0.984 0.295 0.541 
0.717 0.296 0.453 
0.835 0.306 0.655 
0.567 0.295 0.464 
0.550 0.295 0.705 
0.868 0.284 0.519 
0.267 0.295 0.487 
0.300 0.306 0.470 
0.334 0.306 0.590 
0.517 0.295 0.607 
0.868 0.295 0.617 
0.851 0.284 0.541 
0.250 0.295 0.530 
0.517 0.295 0.563 
0.617 0.306 0.525 
0.533 0.295 0.596 
0.734 0.284 0.618 
0.701 0.295 0.694 
0.434 0.295 0.672 
0.551 0.296 0.563 
0.217 0.295 0.639 
0.984 0.296 0.530 
0.333 0.295 0.683 
0.284 0.295 0.541 
0.501 0.295 0.617 
0.367 0.284 0.530 
0.601 0.284 0.640 
0.467 0.306 0.371 
0.968 0.295 0.508 
0.934 0.295 0.497 
0.250 0.284 0.672 
0.801 0.284 0.508 
0.417 0.296 0.596 
0.534 0.306 0.492 
0.634 0.307 0.416 
0.951 0.295 0.431 
0.534 0.295 0.389 
0.984 0.295 0.399 
