<><><><><><><><> 
Begin: 08-Mar-2014 11:07:40 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s34 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.003 0.295 0.727 
0.266 0.295 0.442 
0.417 0.295 0.727 
0.851 0.284 0.813 
0.234 0.284 0.475 
0.951 0.284 0.551 
0.784 0.295 0.563 
0.601 0.284 0.595 
0.667 0.295 0.781 
0.400 0.284 0.595 
0.566 0.295 0.869 
0.968 0.295 0.617 
0.634 0.295 0.650 
0.617 0.295 0.662 
0.384 0.295 0.912 
0.601 0.284 0.749 
0.700 0.295 0.847 
0.751 0.285 0.803 
0.517 0.295 0.748 
0.501 0.295 0.781 
1.001 0.284 0.836 
0.234 0.295 0.803 
0.918 0.284 0.672 
0.933 0.295 0.945 
0.834 0.295 1.000 
0.284 0.295 0.902 
0.417 0.284 0.705 
0.467 0.295 0.803 
0.751 0.295 0.727 
0.317 0.284 0.694 
0.784 0.295 0.662 
0.284 0.295 0.847 
0.718 0.306 0.841 
0.602 0.295 0.682 
0.834 0.284 0.781 
0.768 0.306 0.733 
0.918 0.306 0.644 
0.918 0.295 0.738 
0.467 0.295 0.650 
0.768 0.284 0.990 
0.367 0.284 0.803 
0.234 0.284 0.836 
0.801 0.295 0.988 
0.601 0.295 0.639 
0.584 0.295 0.639 
0.934 0.284 0.573 
0.684 0.306 0.602 
0.701 0.284 0.923 
0.884 0.295 0.902 
0.851 0.295 0.672 
0.667 0.295 0.650 
0.350 0.295 0.727 
0.400 0.284 0.595 
0.918 0.284 0.617 
0.217 0.306 0.645 
0.600 0.284 0.563 
0.334 0.295 0.607 
0.985 0.295 0.661 
0.767 0.295 0.563 
0.601 0.295 0.726 
0.584 0.295 0.684 
0.250 0.295 0.596 
0.751 0.295 0.792 
0.234 0.295 0.771 
0.267 0.284 0.640 
0.617 0.295 0.618 
0.284 0.295 0.574 
0.852 0.295 0.639 
0.851 0.295 0.749 
0.784 0.295 0.486 
0.317 0.295 0.628 
0.733 0.295 0.618 
0.617 0.295 0.563 
0.984 0.295 0.705 
0.717 0.295 0.640 
0.851 0.284 0.607 
0.567 0.295 0.584 
0.551 0.295 0.924 
0.868 0.284 0.574 
0.267 0.295 0.628 
0.317 0.284 0.563 
0.334 0.306 0.656 
0.517 0.295 0.672 
0.868 0.295 0.552 
0.851 0.284 0.716 
0.250 0.295 0.519 
0.517 0.295 0.465 
0.617 0.306 0.688 
0.534 0.295 0.388 
0.734 0.284 0.628 
0.701 0.295 1.000 
0.434 0.295 0.617 
0.551 0.295 0.705 
0.217 0.295 0.574 
0.985 0.296 0.520 
0.334 0.295 0.726 
0.284 0.295 0.607 
0.500 0.296 1.000 
0.367 0.284 0.989 
0.601 0.284 0.552 
0.467 0.306 0.667 
0.968 0.295 0.606 
0.933 0.295 0.738 
0.250 0.284 0.573 
0.801 0.284 0.945 
0.417 0.295 0.738 
0.534 0.306 0.579 
0.634 0.306 0.557 
0.951 0.295 0.519 
0.534 0.295 0.585 
0.985 0.295 0.574 
