<><><><><><><><> 
Begin: 07-Oct-2014 15:12:31 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s49 Run Number: 6 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.777 0.777 
0.534 0.738 0.738 
0.567 0.766 0.766 
0.251 0.602 0.602 
0.568 0.492 0.492 
0.451 0.580 0.580 
0.249 1.323 1.323 
0.317 0.722 0.722 
0.418 0.514 0.514 
0.584 0.602 0.602 
0.584 0.547 0.547 
0.266 0.601 0.601 
0.585 0.580 0.580 
0.584 0.679 0.679 
0.400 0.755 0.755 
0.517 0.514 0.514 
0.267 0.580 0.580 
0.367 0.863 0.863 
0.568 0.580 0.580 
0.518 0.535 0.535 
0.584 0.580 0.580 
0.467 0.854 0.854 
0.216 0.536 0.536 
0.534 1.368 1.368 
0.584 1.127 1.127 
0.468 1.018 1.018 
0.500 0.985 0.985 
0.501 0.645 0.645 
0.366 0.996 0.996 
0.467 1.018 1.018 
0.267 0.962 0.962 
0.484 0.810 0.810 
0.216 1.083 1.083 
0.317 1.105 1.105 
0.218 1.248 1.248 
0.233 0.798 0.798 
0.533 1.728 1.728 
0.484 1.105 1.105 
0.334 0.941 0.941 
0.584 0.755 0.755 
0.217 0.525 0.525 
0.383 1.083 1.083 
0.350 0.689 0.689 
0.517 0.766 0.766 
0.518 1.115 1.115 
0.283 1.356 1.356 
0.400 0.678 0.678 
0.385 0.624 0.624 
0.467 0.787 0.787 
0.484 1.378 1.378 
0.500 0.898 0.898 
0.317 1.062 1.062 
0.467 1.192 1.192 
0.468 1.138 1.138 
0.267 1.127 1.127 
0.251 1.476 1.476 
0.400 1.346 1.346 
0.585 0.712 0.712 
0.334 0.896 0.896 
0.434 0.503 0.503 
0.300 0.558 0.558 
0.501 0.536 0.536 
0.300 1.126 1.126 
0.400 1.389 1.389 
0.484 0.886 0.886 
0.567 0.799 0.799 
0.585 0.667 0.667 
0.417 0.613 0.613 
0.250 0.700 0.700 
0.267 0.722 0.722 
0.300 1.083 1.083 
0.535 1.182 1.182 
0.301 0.689 0.689 
0.533 0.733 0.733 
0.300 0.656 0.656 
0.568 0.503 0.503 
0.350 0.788 0.788 
0.284 0.723 0.723 
0.300 0.864 0.864 
0.450 0.547 0.547 
0.400 0.809 0.809 
0.350 0.700 0.700 
0.534 0.711 0.711 
0.434 0.842 0.842 
0.416 0.831 0.831 
0.566 0.678 0.678 
0.317 0.996 0.996 
0.501 0.591 0.591 
0.500 0.678 0.678 
0.351 0.776 0.776 
0.433 0.723 0.723 
0.234 0.908 0.908 
0.217 0.536 0.536 
0.417 0.656 0.656 
0.517 0.569 0.569 
0.584 0.831 0.831 
0.249 0.668 0.668 
0.434 0.798 0.798 
0.383 0.536 0.536 
0.200 0.613 0.613 
0.333 0.733 0.733 
0.267 0.897 0.897 
0.517 0.601 0.601 
0.334 0.700 0.700 
