<><><><><><><><> 
Begin: 04-Jun-2014 13:12:30 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s03 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 1.539 1.539 
0.533 1.007 1.007 
0.567 1.127 1.127 
0.251 1.093 1.093 
0.568 1.225 1.225 
0.451 2.779 2.779 
0.234 0.811 0.811 
0.317 1.116 1.116 
0.417 1.654 1.654 
0.584 0.777 0.777 
0.584 0.854 0.854 
0.267 0.919 0.919 
0.585 0.767 0.767 
0.584 0.974 0.974 
0.401 1.324 1.324 
0.517 1.018 1.018 
0.266 0.996 0.996 
0.367 1.050 1.050 
0.568 1.466 1.466 
0.517 0.985 0.985 
0.585 0.711 0.711 
0.466 2.823 2.823 
0.217 2.059 2.059 
0.550 1.194 1.194 
0.584 0.985 0.985 
0.467 1.094 1.094 
0.501 2.363 2.363 
0.501 0.876 0.876 
0.367 1.040 1.040 
0.467 1.478 1.478 
0.266 1.532 1.532 
0.485 1.181 1.181 
0.217 0.974 0.974 
0.318 1.489 1.489 
0.217 0.842 0.842 
0.234 1.160 1.160 
0.533 1.992 1.992 
0.484 0.940 0.940 
0.334 0.952 0.952 
0.584 2.046 2.046 
0.216 2.254 2.254 
0.384 1.161 1.161 
0.350 3.162 3.162 
0.501 1.149 1.149 
0.517 0.766 0.766 
0.284 1.697 1.697 
0.400 2.670 2.670 
0.384 2.156 2.156 
0.467 1.029 1.029 
0.484 1.160 1.160 
0.502 1.040 1.040 
0.317 3.994 4.048 
0.468 1.433 1.433 
0.467 2.671 2.671 
0.267 1.149 1.149 
0.250 1.171 1.171 
0.400 0.973 0.973 
0.584 0.919 0.919 
0.333 0.919 0.919 
0.434 1.433 1.433 
0.300 0.942 0.942 
0.501 1.292 1.292 
0.301 1.083 1.083 
0.401 1.073 1.073 
0.484 1.663 1.663 
0.567 0.974 0.974 
0.583 1.181 1.181 
0.417 1.871 1.871 
0.251 1.729 1.729 
0.267 1.160 1.160 
0.300 0.930 0.930 
0.534 1.126 1.126 
0.300 1.762 1.762 
0.533 0.996 0.996 
0.300 2.003 2.003 
0.567 1.685 1.685 
0.350 0.930 0.930 
0.284 0.810 0.810 
0.300 0.953 0.953 
0.450 0.984 0.984 
0.399 1.313 1.313 
0.350 1.576 1.576 
0.533 0.909 0.909 
0.434 1.160 1.160 
0.416 1.139 1.139 
0.567 1.314 1.314 
0.316 0.909 0.909 
0.501 0.897 0.897 
0.500 0.800 0.800 
0.351 0.646 0.646 
0.434 1.051 1.051 
0.233 1.443 1.443 
0.217 1.116 1.116 
0.417 0.963 0.963 
0.518 0.800 0.800 
0.583 0.974 0.974 
0.251 0.919 0.919 
0.434 0.832 0.832 
0.383 0.909 0.909 
0.200 0.886 0.886 
0.333 0.810 0.810 
0.267 1.193 1.193 
0.517 1.149 1.149 
0.334 1.018 1.018 
0.417 0.820 0.820 
0.267 1.018 1.018 
0.450 0.723 0.723 
0.301 1.062 1.062 
0.467 1.511 1.511 
0.483 0.919 0.919 
0.501 1.390 1.390 
0.383 1.248 1.248 
0.234 1.642 1.642 
0.300 1.674 1.674 
0.567 1.477 1.477 
0.266 0.832 0.832 
0.535 1.073 1.073 
0.417 1.433 1.433 
0.601 2.068 2.068 
0.234 1.904 1.904 
0.384 1.424 1.424 
0.250 1.073 1.073 
0.584 2.156 2.156 
0.200 1.423 1.423 
0.517 0.975 0.975 
0.534 0.996 0.996 
0.550 1.521 1.521 
0.233 1.128 1.128 
0.367 0.975 0.975 
0.300 1.117 1.117 
0.517 2.134 2.134 
0.383 1.138 1.138 
0.567 1.214 1.214 
0.266 1.663 1.663 
0.316 0.942 0.942 
0.267 0.875 0.875 
0.250 1.379 1.379 
0.551 0.789 0.789 
0.434 1.400 1.400 
0.418 0.821 0.821 
0.267 0.952 0.952 
0.551 1.544 1.544 
0.450 1.390 1.390 
0.350 0.635 0.635 
0.401 0.898 0.898 
0.367 2.365 2.365 
0.233 0.964 0.964 
0.301 1.214 1.214 
0.251 1.336 1.336 
0.284 0.864 0.864 
0.300 1.117 1.117 
0.368 2.354 2.354 
0.217 1.347 1.347 
0.568 1.041 1.041 
0.585 2.363 2.363 
0.400 0.788 0.788 
0.401 1.215 1.215 
0.334 1.609 1.609 
0.567 0.974 0.974 
0.350 1.117 1.117 
0.250 1.335 1.335 
0.518 1.270 1.270 
0.350 1.083 1.083 
0.300 0.011 0.011 
0.367 2.911 2.911 
0.235 1.246 1.246 
0.249 0.985 0.985 
0.584 0.766 0.766 
0.584 0.843 0.843 
0.434 0.778 0.778 
0.233 1.423 1.423 
0.300 0.975 0.975 
0.349 1.083 1.083 
0.534 0.898 0.898 
0.201 1.948 1.948 
0.217 1.575 1.575 
0.268 1.763 1.763 
0.467 2.079 2.079 
0.500 1.237 1.237 
0.467 0.974 0.974 
0.383 1.204 1.204 
0.417 1.073 1.073 
0.317 0.778 0.778 
0.501 1.051 1.051 
0.284 1.292 1.292 
0.483 1.248 1.248 
0.284 0.942 0.942 
0.350 1.182 1.182 
0.451 0.996 0.996 
0.517 1.630 1.630 
0.234 1.149 1.149 
0.567 1.795 1.795 
0.517 1.838 1.838 
0.400 1.357 1.357 
0.384 0.931 0.931 
0.384 1.051 1.051 
0.317 1.325 1.325 
0.400 1.193 1.193 
0.401 1.947 1.947 
0.534 1.137 1.137 
0.517 0.854 0.854 
0.467 1.061 1.061 
0.350 1.346 1.346 
0.534 0.799 0.799 
0.417 1.072 1.072 
0.350 1.028 1.028 
0.584 0.930 0.930 
0.551 1.039 1.039 
0.417 1.006 1.006 
0.450 0.897 0.897 
0.434 1.007 1.007 
0.284 1.543 1.543 
0.317 0.942 0.942 
0.384 0.964 0.964 
0.300 1.871 1.871 
0.535 1.422 1.422 
0.283 1.017 1.017 
0.300 1.039 1.039 
0.267 0.908 0.908 
0.300 1.850 1.850 
0.383 0.711 0.711 
0.333 1.422 1.422 
0.567 1.324 1.324 
0.367 1.203 1.203 
0.284 0.711 0.711 
0.567 0.776 0.776 
0.601 0.833 0.833 
0.384 0.843 0.843 
0.251 1.685 1.685 
0.301 1.160 1.160 
0.367 1.411 1.411 
0.434 1.653 1.653 
0.301 1.346 1.346 
0.450 1.335 1.335 
0.485 0.930 0.930 
0.284 0.931 0.931 
0.250 1.171 1.171 
0.318 0.788 0.788 
0.333 0.796 0.796 
0.367 1.740 1.740 
0.401 1.378 1.378 
0.234 0.854 0.854 
0.301 1.117 1.117 
0.517 1.411 1.411 
0.217 1.620 1.620 
0.567 0.996 0.996 
0.501 1.565 1.565 
0.400 1.095 1.095 
0.434 1.697 1.697 
0.300 1.106 1.106 
0.384 0.996 0.996 
0.584 1.455 1.455 
0.417 1.193 1.193 
0.417 1.226 1.226 
0.300 1.237 1.237 
0.400 1.062 1.062 
0.451 1.521 1.521 
0.467 1.335 1.335 
0.366 0.963 0.963 
0.350 1.138 1.138 
0.601 1.247 1.247 
0.216 1.412 1.412 
0.551 0.942 0.942 
0.568 2.353 2.353 
0.517 1.237 1.237 
0.250 1.346 1.346 
0.300 1.488 1.488 
0.334 1.270 1.270 
0.467 1.083 1.083 
0.250 2.627 2.627 
0.484 2.353 2.353 
0.250 1.455 1.455 
0.467 0.963 0.963 
0.401 0.842 0.842 
0.518 1.226 1.226 
0.484 0.777 0.777 
0.567 1.072 1.072 
0.567 1.761 1.761 
0.333 0.875 0.875 
