<><><><><><><><> 
Begin: 04-Mar-2014 15:22:25 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s29 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.296 0.552 
0.268 0.296 0.529 
0.417 0.295 0.487 
0.851 0.284 0.585 
0.233 0.284 0.639 
0.951 0.285 0.605 
0.783 0.296 0.552 
0.600 0.284 0.585 
0.668 0.295 0.476 
0.399 0.284 0.552 
0.568 0.295 0.529 
0.967 0.296 0.551 
0.635 0.295 0.760 
0.618 0.296 0.694 
0.383 0.296 0.683 
0.601 0.284 0.650 
0.702 0.295 0.605 
0.751 0.285 0.606 
0.517 0.296 0.628 
0.499 0.296 0.760 
1.000 0.284 0.672 
0.233 0.295 0.640 
0.918 0.285 0.629 
0.934 0.295 0.716 
0.834 0.295 0.651 
0.285 0.296 0.628 
0.417 0.284 0.848 
0.468 0.295 0.618 
0.751 0.285 0.650 
0.317 0.285 0.585 
0.784 0.295 0.717 
0.285 0.295 0.660 
0.718 0.306 0.701 
0.602 0.295 0.661 
0.833 0.285 0.672 
0.783 0.284 0.826 
0.934 0.284 0.662 
0.919 0.296 0.584 
0.468 0.296 0.846 
0.768 0.285 0.717 
0.367 0.285 0.793 
0.232 0.284 0.661 
0.801 0.295 0.650 
0.601 0.295 0.607 
0.584 0.296 0.661 
0.934 0.284 0.650 
0.684 0.295 0.562 
0.700 0.296 0.662 
0.883 0.306 0.656 
0.851 0.295 0.990 
0.668 0.011 0.011 
0.350 0.295 0.989 
0.400 0.285 0.738 
0.918 0.285 0.629 
0.233 0.285 0.596 
0.600 0.285 0.641 
0.333 0.295 0.586 
0.984 0.296 0.639 
0.767 0.306 0.603 
0.601 0.296 0.507 
0.584 0.285 0.651 
0.250 0.295 0.639 
0.751 0.296 0.674 
0.233 0.295 0.640 
0.267 0.284 0.596 
0.617 0.296 0.617 
0.285 0.284 0.563 
0.851 0.296 0.662 
0.851 0.295 0.704 
0.783 0.295 0.684 
0.318 0.296 1.000 
0.735 0.296 0.705 
0.618 0.295 0.706 
0.984 0.295 0.629 
0.717 0.296 0.661 
0.850 0.284 0.989 
0.567 0.295 0.848 
0.551 0.296 0.595 
0.867 0.295 0.946 
0.268 0.296 0.605 
0.316 0.285 0.705 
0.334 0.306 0.679 
0.516 0.296 0.695 
0.867 0.295 0.782 
0.851 0.285 0.651 
0.251 0.296 0.617 
0.516 0.296 0.651 
0.617 0.307 0.668 
0.534 0.295 0.924 
0.733 0.284 0.989 
0.700 0.295 0.881 
0.435 0.296 0.563 
0.550 0.296 0.792 
0.217 0.295 0.705 
0.983 0.296 0.858 
0.333 0.296 0.673 
0.284 0.295 0.749 
0.501 0.296 0.705 
0.367 0.284 0.640 
0.601 0.285 0.673 
0.467 0.306 0.864 
0.967 0.296 0.607 
0.934 0.295 0.542 
0.250 0.285 0.967 
0.801 0.285 0.661 
0.417 0.296 0.849 
0.535 0.295 0.967 
0.634 0.306 0.646 
0.951 0.296 0.595 
0.534 0.296 0.848 
0.984 0.295 0.848 
