<><><><><><><><> 
Begin: 16-Jul-2014 13:17:28 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s05 Run Number: 5 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.433 1.433 
0.451 1.220 1.220 
0.333 1.467 1.467 
0.333 1.336 1.336 
0.467 1.916 1.916 
0.433 1.159 1.159 
0.383 0.700 0.700 
0.333 1.631 1.631 
0.367 1.029 1.029 
0.367 1.849 1.849 
0.401 0.777 0.777 
0.517 0.777 0.777 
0.418 1.324 1.324 
0.467 0.974 0.974 
0.451 0.766 0.766 
0.301 0.919 0.919 
0.534 0.613 0.613 
0.551 0.394 0.394 
0.517 0.460 0.460 
0.501 0.898 0.898 
0.367 0.470 0.470 
0.517 1.051 1.051 
0.383 1.050 1.050 
0.501 0.908 0.908 
0.435 1.160 1.160 
0.301 0.755 0.755 
0.518 0.854 0.854 
0.568 0.711 0.711 
0.452 0.711 0.711 
0.299 1.061 1.061 
0.251 1.008 1.008 
0.568 1.117 1.117 
0.317 1.106 1.106 
0.584 0.744 0.744 
0.384 0.963 0.963 
0.300 1.335 1.335 
0.450 0.963 0.963 
0.300 0.613 0.613 
0.367 0.854 0.854 
0.501 2.123 2.123 
0.216 0.996 0.996 
0.217 1.149 1.149 
0.467 0.821 0.821 
0.467 0.634 0.634 
0.317 1.576 1.576 
0.317 0.931 0.931 
0.600 1.204 1.204 
0.249 0.799 0.799 
0.534 0.898 0.898 
0.216 1.817 1.817 
0.335 1.072 1.072 
0.268 0.755 0.755 
0.433 1.346 1.346 
0.249 1.324 1.324 
0.317 1.444 1.444 
0.250 1.455 1.455 
0.284 1.412 1.412 
0.517 1.324 1.324 
0.284 1.566 1.566 
0.551 1.117 1.117 
0.584 0.985 0.985 
0.250 1.205 1.205 
0.567 0.865 0.865 
0.517 0.537 0.537 
0.551 0.722 0.722 
0.334 1.357 1.357 
0.551 1.642 1.642 
0.533 1.314 1.314 
0.233 1.139 1.139 
0.234 0.821 0.821 
0.317 1.062 1.062 
0.417 0.778 0.778 
0.601 0.843 0.843 
0.334 0.997 0.997 
0.417 1.051 1.051 
0.450 0.668 0.668 
0.567 0.974 0.974 
0.400 0.701 0.701 
0.283 0.711 0.711 
0.317 0.800 0.800 
0.534 0.909 0.909 
0.234 0.886 0.886 
0.535 0.711 0.711 
0.451 0.711 0.711 
0.417 1.008 1.008 
0.500 0.613 0.613 
0.584 0.843 0.843 
0.300 1.150 1.150 
0.317 1.062 1.062 
0.450 1.205 1.205 
0.266 0.928 0.928 
0.334 1.037 1.037 
0.318 1.544 1.544 
0.233 1.018 1.018 
0.468 0.690 0.690 
0.517 0.767 0.767 
0.301 0.986 0.986 
0.367 1.492 1.492 
0.467 1.371 1.371 
0.433 0.864 0.864 
0.267 0.865 0.865 
0.317 1.128 1.128 
0.450 1.270 1.270 
0.584 0.919 0.919 
0.283 1.248 1.248 
0.351 1.116 1.116 
0.400 1.358 1.358 
0.384 0.613 0.613 
0.500 0.887 0.887 
0.468 0.811 0.811 
0.349 0.482 0.482 
0.500 1.281 1.281 
0.317 1.674 1.674 
0.500 0.854 0.854 
0.550 1.271 1.271 
0.501 1.303 1.303 
0.235 1.161 1.161 
0.501 0.985 0.985 
0.517 0.766 0.766 
0.201 1.292 1.292 
0.300 0.887 0.887 
0.318 0.876 0.876 
0.300 0.997 0.997 
0.533 1.204 1.204 
0.233 1.478 1.478 
0.418 1.652 1.652 
0.434 1.039 1.039 
0.283 0.932 0.932 
0.601 1.302 1.302 
0.267 1.664 1.664 
0.350 1.762 1.762 
0.250 0.908 0.908 
0.501 1.357 1.357 
0.534 1.006 1.006 
0.217 0.974 0.974 
0.501 1.171 1.171 
0.384 1.368 1.368 
0.384 1.390 1.390 
0.250 0.919 0.919 
0.367 0.996 0.996 
0.350 1.818 1.818 
0.501 0.997 0.997 
0.333 1.106 1.106 
0.601 1.489 1.489 
0.333 0.854 0.854 
0.450 0.976 0.976 
0.450 0.811 0.811 
0.449 0.735 0.735 
0.417 1.248 1.248 
0.251 0.876 0.876 
0.467 1.051 1.051 
0.567 1.029 1.029 
0.301 1.303 1.303 
0.350 1.084 1.084 
0.318 1.237 1.237 
0.567 0.690 0.690 
0.402 1.161 1.161 
0.250 0.887 0.887 
0.284 1.512 1.512 
0.233 1.018 1.018 
0.451 1.062 1.062 
0.484 1.237 1.237 
0.401 1.106 1.106 
0.350 1.511 1.511 
0.317 1.194 1.194 
0.568 1.993 1.993 
0.601 2.003 2.003 
0.250 1.281 1.281 
0.467 1.150 1.150 
0.584 1.774 1.774 
0.417 2.102 2.102 
0.367 1.992 1.992 
0.284 1.062 1.062 
0.283 0.876 0.876 
0.318 1.237 1.237 
0.484 1.238 1.238 
0.301 1.961 1.961 
0.267 1.291 1.291 
0.301 1.183 1.183 
0.517 2.323 2.323 
0.317 0.975 0.975 
0.500 1.129 1.129 
0.434 0.855 0.855 
0.551 1.094 1.094 
0.335 0.800 0.800 
0.484 0.910 0.910 
0.249 0.843 0.843 
0.284 1.084 1.084 
0.300 0.898 0.898 
0.518 1.138 1.138 
0.284 1.028 1.028 
0.466 1.106 1.106 
0.384 0.701 0.701 
0.501 0.931 0.931 
0.217 1.249 1.249 
0.267 0.930 0.930 
0.534 0.952 0.952 
0.250 1.379 1.379 
0.350 0.744 0.744 
0.284 1.281 1.281 
0.467 0.875 0.875 
0.234 1.993 1.993 
0.367 1.422 1.422 
0.334 1.095 1.095 
0.451 1.413 1.413 
0.300 0.066 0.066 
0.585 1.106 1.106 
0.266 1.784 1.784 
0.234 1.588 1.588 
0.234 1.084 1.084 
0.351 1.269 1.269 
0.399 1.445 1.445 
0.217 1.259 1.259 
0.534 1.303 1.303 
0.467 2.080 2.080 
0.316 1.817 1.817 
0.534 0.919 0.919 
0.301 1.467 1.467 
0.351 1.194 1.194 
0.366 1.423 1.423 
0.284 1.478 1.478 
0.250 1.116 1.116 
0.501 1.161 1.161 
0.234 1.073 1.073 
0.500 1.008 1.008 
0.317 1.205 1.205 
0.584 0.919 0.919 
0.567 1.314 1.314 
0.584 1.423 1.423 
0.217 1.456 1.456 
0.434 1.062 1.062 
0.533 0.724 0.724 
0.418 1.139 1.139 
0.568 1.020 1.020 
0.333 1.073 1.073 
0.350 0.909 0.909 
0.250 1.030 1.030 
0.467 1.161 1.161 
0.450 1.106 1.106 
0.217 1.292 1.292 
0.250 0.997 0.997 
0.234 1.128 1.128 
0.467 0.887 0.887 
0.350 1.587 1.587 
0.233 1.205 1.205 
0.400 1.084 1.084 
0.384 1.149 1.149 
0.434 1.139 1.139 
0.251 1.324 1.324 
0.517 1.193 1.193 
0.250 1.423 1.423 
0.484 1.215 1.215 
0.250 1.554 1.554 
0.300 1.370 1.370 
0.316 1.533 1.533 
0.383 1.729 1.729 
0.467 0.996 0.996 
0.583 1.172 1.172 
0.483 1.434 1.434 
0.267 1.292 1.292 
0.400 1.293 1.293 
0.534 0.821 0.821 
0.583 0.854 0.854 
0.218 0.811 0.811 
0.533 0.800 0.800 
0.284 0.974 0.974 
0.534 0.755 0.755 
0.234 1.489 1.489 
0.584 1.575 1.575 
0.217 1.336 1.336 
0.317 0.996 0.996 
0.250 0.854 0.854 
0.467 1.161 1.161 
0.234 0.952 0.952 
0.401 0.788 0.788 
0.468 1.128 1.128 
0.367 1.315 1.315 
0.483 1.346 1.346 
0.217 1.128 1.128 
