<><><><><><><><> 
Begin: 07-Feb-2014 16:33:02 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s13 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.295 0.585 
0.268 0.295 0.453 
0.417 0.285 0.465 
0.851 0.285 0.727 
0.233 0.285 0.574 
0.951 0.284 0.464 
0.784 0.295 0.455 
0.601 0.285 0.355 
0.668 0.296 0.530 
0.400 0.284 0.617 
0.567 0.295 0.486 
0.969 0.296 0.595 
0.634 0.296 0.586 
0.618 0.295 0.464 
0.384 0.296 0.585 
0.601 0.284 0.399 
0.701 0.295 0.499 
0.751 0.284 0.650 
0.518 0.295 0.542 
0.500 0.296 0.387 
1.001 0.285 0.541 
0.234 0.295 0.453 
0.918 0.285 0.891 
0.934 0.295 0.553 
0.835 0.296 0.541 
0.284 0.296 0.649 
0.418 0.284 0.497 
0.467 0.295 0.553 
0.752 0.285 0.453 
0.317 0.284 0.595 
0.784 0.295 0.498 
0.284 0.295 0.366 
0.719 0.306 0.426 
0.602 0.263 0.263 
0.818 0.306 0.448 
0.768 0.296 0.705 
0.933 0.284 0.552 
0.918 0.296 0.585 
0.467 0.296 0.848 
0.766 0.285 0.992 
0.366 0.285 0.586 
0.234 0.284 0.640 
0.800 0.296 0.542 
0.602 0.295 0.474 
0.584 0.296 0.518 
0.933 0.285 0.530 
0.684 0.306 0.623 
0.701 0.296 0.596 
0.884 0.295 0.509 
0.851 0.295 0.519 
0.667 0.295 0.344 
0.350 0.295 0.551 
0.400 0.285 0.576 
0.917 0.284 0.530 
0.234 0.284 0.443 
0.601 0.285 0.465 
0.333 0.296 0.630 
0.984 0.296 0.519 
0.766 0.306 0.514 
0.601 0.296 0.496 
0.584 0.285 0.629 
0.249 0.295 0.532 
0.752 0.295 0.519 
0.234 0.296 0.475 
0.267 0.285 0.585 
0.617 0.296 0.728 
0.284 0.296 0.486 
0.850 0.306 0.383 
0.852 0.296 0.376 
0.783 0.295 0.422 
0.318 0.296 0.432 
0.734 0.296 0.761 
0.618 0.296 0.431 
0.984 0.296 0.530 
0.717 0.295 0.443 
0.850 0.285 0.596 
0.567 0.295 0.651 
0.551 0.295 0.651 
0.868 0.284 0.738 
0.267 0.295 0.848 
0.301 0.306 0.732 
0.334 0.306 0.711 
0.517 0.295 0.486 
0.869 0.295 0.518 
0.851 0.285 0.399 
0.251 0.296 0.651 
0.517 0.296 0.531 
0.618 0.296 0.638 
0.535 0.296 0.662 
0.734 0.284 0.782 
0.700 0.296 0.673 
0.434 0.295 0.793 
0.550 0.295 0.662 
0.217 0.296 0.902 
0.984 0.296 0.595 
0.334 0.295 0.652 
0.285 0.296 0.607 
0.502 0.295 0.496 
0.366 0.285 0.519 
0.600 0.285 0.508 
0.466 0.307 0.349 
0.968 0.296 0.661 
0.933 0.295 0.475 
0.249 0.295 0.465 
0.801 0.284 0.464 
0.417 0.296 0.541 
0.534 0.307 0.547 
0.635 0.295 0.432 
0.951 0.296 0.421 
0.535 0.296 0.333 
0.984 0.295 0.295 
