<><><><><><><><> 
Begin: 07-Feb-2014 16:21:06 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s13 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.000 0.302 0.997 
0.266 0.241 0.241 
0.417 0.285 0.563 
0.850 0.284 0.694 
0.234 0.284 0.596 
0.951 0.285 0.585 
0.784 0.295 0.551 
0.600 0.285 0.465 
0.668 0.296 0.519 
0.400 0.284 0.585 
0.567 0.296 0.564 
0.968 0.295 0.660 
0.634 0.306 0.559 
0.618 0.295 1.001 
0.385 0.295 0.913 
0.600 0.285 0.990 
0.701 0.295 0.827 
0.751 0.284 0.563 
0.518 0.295 0.716 
0.501 0.296 0.881 
1.001 0.284 0.650 
0.235 0.296 0.693 
0.918 0.285 0.782 
0.935 0.296 0.748 
0.835 0.296 0.693 
0.284 0.296 0.751 
0.417 0.284 0.705 
0.467 0.295 0.836 
0.751 0.295 0.804 
0.317 0.285 0.814 
0.784 0.284 0.935 
0.284 0.295 0.619 
0.734 0.284 0.914 
0.601 0.296 0.781 
0.834 0.285 0.990 
0.767 0.307 0.832 
0.918 0.306 0.854 
0.918 0.295 0.682 
0.468 0.296 0.748 
0.767 0.284 0.596 
0.367 0.285 0.848 
0.233 0.284 0.880 
0.802 0.296 0.847 
0.601 0.296 0.585 
0.585 0.295 0.857 
0.934 0.285 0.825 
0.684 0.306 0.722 
0.701 0.295 0.727 
0.884 0.306 0.755 
0.852 0.284 0.990 
0.667 0.296 0.901 
0.351 0.296 0.640 
0.400 0.285 0.706 
0.917 0.284 0.793 
0.233 0.284 0.727 
0.600 0.285 0.563 
0.333 0.295 0.684 
0.985 0.296 0.694 
0.769 0.296 0.694 
0.602 0.296 0.399 
0.584 0.295 0.552 
0.250 0.295 0.629 
0.751 0.295 0.509 
0.233 0.296 0.684 
0.267 0.284 0.596 
0.617 0.295 0.575 
0.284 0.295 0.619 
0.851 0.295 0.442 
0.851 0.295 0.628 
0.783 0.295 0.639 
0.318 0.296 0.431 
0.735 0.285 0.607 
0.617 0.296 0.563 
0.985 0.296 0.683 
0.719 0.295 0.673 
0.850 0.284 0.541 
0.568 0.295 0.507 
0.551 0.295 0.507 
0.867 0.296 0.499 
0.267 0.296 0.606 
0.316 0.284 0.563 
0.333 0.307 0.613 
0.517 0.296 0.431 
0.869 0.296 0.529 
0.852 0.284 0.519 
0.250 0.296 1.000 
0.518 0.295 0.496 
0.617 0.307 0.679 
0.534 0.295 0.607 
0.733 0.284 0.661 
0.701 0.296 0.662 
0.433 0.296 0.672 
0.551 0.296 0.519 
0.217 0.295 0.651 
0.985 0.296 0.530 
0.333 0.296 0.564 
0.283 0.295 0.422 
0.501 0.296 0.540 
0.366 0.284 0.990 
0.601 0.284 0.990 
0.467 0.306 0.646 
0.968 0.295 0.650 
0.935 0.294 0.584 
0.250 0.284 0.990 
0.800 0.284 0.629 
0.417 0.296 0.749 
0.534 0.306 0.580 
0.634 0.307 0.853 
0.952 0.296 0.912 
0.533 0.295 0.532 
0.983 0.296 0.847 
