<><><><><><><><> 
Begin: 05-Oct-2014 17:58:01 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s23 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 3.195 3.195 
0.534 2.515 2.515 
0.568 1.509 1.509 
0.251 0.832 0.832 
0.567 0.897 0.897 
0.451 1.028 1.028 
0.249 0.755 0.755 
0.317 0.810 0.810 
0.418 0.995 0.995 
0.583 1.335 1.335 
0.584 1.039 1.039 
0.268 0.930 0.930 
0.584 1.322 1.322 
0.584 0.799 0.799 
0.401 1.444 1.444 
0.518 0.821 0.821 
0.266 1.378 1.378 
0.368 0.941 0.941 
0.568 1.104 1.104 
0.516 1.105 1.105 
0.584 1.421 1.421 
0.467 0.951 0.951 
0.217 0.744 0.744 
0.534 4.003 4.239 
0.583 1.214 1.214 
0.468 0.963 0.963 
0.501 1.991 1.991 
0.500 0.941 0.941 
0.366 3.674 3.674 
0.468 1.620 1.620 
0.266 4.003 4.579 
0.484 3.270 3.270 
0.218 2.494 2.494 
0.317 1.017 1.017 
0.217 0.854 0.854 
0.234 0.941 0.941 
0.533 0.929 0.929 
0.484 0.853 0.853 
0.333 0.701 0.701 
0.585 1.838 1.838 
0.217 1.805 1.805 
0.383 0.612 0.612 
0.350 1.137 1.137 
0.501 1.957 1.957 
0.517 1.126 1.126 
0.283 1.061 1.061 
0.401 3.992 4.682 
0.384 2.888 2.888 
0.467 0.929 0.929 
0.484 1.268 1.268 
0.501 4.003 6.001 
0.317 3.992 5.995 
0.483 2.176 2.176 
0.467 3.162 3.162 
0.267 2.002 2.002 
0.250 1.127 1.127 
0.401 2.121 2.121 
0.585 0.777 0.777 
0.334 0.831 0.831 
0.434 0.788 0.788 
0.284 4.005 4.655 
0.501 0.646 0.646 
0.300 0.645 0.645 
0.400 0.645 0.645 
0.483 0.569 0.569 
0.567 0.536 0.536 
0.584 0.799 0.799 
0.417 2.602 2.602 
0.251 1.828 1.828 
0.266 0.952 0.952 
0.300 0.776 0.776 
0.533 1.072 1.072 
0.300 0.972 0.972 
0.533 1.247 1.247 
0.300 3.041 3.041 
0.567 0.635 0.635 
0.350 0.941 0.941 
0.285 1.389 1.389 
0.300 0.908 0.908 
0.451 0.645 0.645 
0.384 1.564 1.564 
0.349 0.853 0.853 
0.534 0.569 0.569 
0.434 1.630 1.630 
0.417 0.678 0.678 
0.567 0.688 0.688 
0.317 0.820 0.820 
0.501 1.191 1.191 
0.500 0.788 0.788 
0.350 0.624 0.624 
0.434 1.105 1.105 
0.234 1.049 1.049 
0.217 1.249 1.249 
0.417 0.962 0.962 
0.517 1.334 1.334 
0.583 1.466 1.466 
0.250 0.777 0.777 
0.433 0.842 0.842 
0.384 3.609 3.609 
0.201 1.695 1.695 
0.334 1.947 1.947 
0.266 0.711 0.711 
0.517 2.165 2.165 
0.334 1.214 1.214 
