<><><><><><><><> 
Begin: 05-Oct-2014 18:13:38 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s23 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.000 2.887 2.887 
0.534 2.340 2.340 
0.568 0.601 0.601 
0.251 0.940 0.940 
0.567 0.635 0.635 
0.450 1.859 1.859 
0.250 1.225 1.225 
0.317 2.339 2.339 
0.417 2.253 2.253 
0.585 3.992 5.033 
0.584 1.674 1.674 
0.266 3.991 4.310 
0.585 0.733 0.733 
0.585 0.711 0.711 
0.400 0.951 0.951 
0.517 0.798 0.798 
0.266 0.908 0.908 
0.367 1.695 1.695 
0.567 0.536 0.536 
0.518 2.221 2.221 
0.583 1.082 1.082 
0.468 1.498 1.498 
0.217 1.181 1.181 
0.534 0.580 0.580 
0.584 0.744 0.744 
0.467 1.443 1.443 
0.501 1.203 1.203 
0.500 0.952 0.952 
0.367 0.886 0.886 
0.468 0.875 0.875 
0.267 1.521 1.521 
0.484 1.028 1.028 
0.217 1.051 1.051 
0.317 1.116 1.116 
0.217 3.040 3.040 
0.250 2.844 2.844 
0.533 1.269 1.269 
0.484 1.531 1.531 
0.334 0.875 0.875 
0.584 1.411 1.411 
0.217 1.050 1.050 
0.384 1.050 1.050 
0.351 1.104 1.104 
0.502 2.013 2.013 
0.518 1.061 1.061 
0.284 1.509 1.509 
0.400 2.056 2.056 
0.383 0.973 0.973 
0.467 0.635 0.635 
0.484 1.761 1.761 
0.500 4.003 4.765 
0.317 3.379 3.379 
0.467 4.003 4.699 
0.467 0.843 0.843 
0.267 0.754 0.754 
0.250 1.368 1.368 
0.401 0.832 0.832 
0.585 1.444 1.444 
0.334 4.002 5.891 
0.433 1.280 1.280 
0.284 0.984 0.984 
0.502 1.290 1.290 
0.299 0.919 0.919 
0.401 0.689 0.689 
0.484 1.182 1.182 
0.567 0.908 0.908 
0.583 1.410 1.410 
0.418 2.068 2.068 
0.266 0.623 0.623 
0.267 0.678 0.678 
0.300 0.798 0.798 
0.534 0.732 0.732 
0.301 0.602 0.602 
0.534 0.776 0.776 
0.300 1.093 1.093 
0.567 2.909 2.909 
0.334 2.067 2.067 
0.284 2.558 2.558 
0.300 0.941 0.941 
0.450 0.908 0.908 
0.399 2.953 2.953 
0.350 1.039 1.039 
0.534 0.842 0.842 
0.434 3.423 3.423 
0.418 0.744 0.744 
0.567 1.071 1.071 
0.318 1.509 1.509 
0.501 1.367 1.367 
0.501 0.853 0.853 
0.351 1.291 1.291 
0.434 0.711 0.711 
0.234 1.488 1.488 
0.217 1.170 1.170 
0.417 1.510 1.510 
0.517 1.313 1.313 
0.584 1.334 1.334 
0.250 0.962 0.962 
0.434 0.952 0.952 
0.384 0.612 0.612 
0.200 0.951 0.951 
0.334 0.919 0.919 
0.284 1.476 1.476 
0.518 0.678 0.678 
0.333 1.389 1.389 
