<><><><><><><><> 
Begin: 05-Oct-2014 18:32:13 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s23 Run Number: 6 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 3.992 4.266 
0.534 1.193 1.193 
0.568 0.820 0.820 
0.250 0.864 0.864 
0.567 0.569 0.569 
0.450 0.656 0.656 
0.234 0.733 0.733 
0.317 0.908 0.908 
0.417 1.357 1.357 
0.584 0.853 0.853 
0.583 1.247 1.247 
0.267 0.777 0.777 
0.585 4.002 6.000 
0.584 3.992 4.726 
0.400 2.078 2.078 
0.518 0.897 0.897 
0.267 0.951 0.951 
0.368 0.602 0.602 
0.567 3.128 3.128 
0.517 0.885 0.885 
0.583 0.569 0.569 
0.467 0.624 0.624 
0.218 1.313 1.313 
0.535 0.613 0.613 
0.583 0.678 0.678 
0.466 0.864 0.864 
0.500 0.765 0.765 
0.501 0.602 0.602 
0.367 0.711 0.711 
0.467 0.745 0.745 
0.267 0.558 0.558 
0.485 0.887 0.887 
0.218 1.061 1.061 
0.316 0.657 0.657 
0.218 0.722 0.722 
0.234 0.634 0.634 
0.534 0.765 0.765 
0.483 0.799 0.799 
0.333 1.203 1.203 
0.584 0.875 0.875 
0.217 1.126 1.126 
0.383 1.006 1.006 
0.349 1.739 1.739 
0.502 0.920 0.920 
0.517 1.314 1.314 
0.283 0.842 0.842 
0.400 0.853 0.853 
0.383 1.224 1.224 
0.467 0.569 0.569 
0.484 1.498 1.498 
0.502 1.072 1.072 
0.317 1.105 1.105 
0.467 1.159 1.159 
0.468 0.722 0.722 
0.267 2.078 2.078 
0.250 1.520 1.520 
0.400 1.367 1.367 
0.584 1.050 1.050 
0.334 1.651 1.651 
0.434 1.553 1.553 
0.300 1.192 1.192 
0.501 1.312 1.312 
0.300 0.984 0.984 
0.401 0.547 0.547 
0.484 0.907 0.907 
0.551 0.744 0.744 
0.583 1.116 1.116 
0.418 1.204 1.204 
0.250 1.137 1.137 
0.267 1.104 1.104 
0.300 1.279 1.279 
0.534 1.924 1.924 
0.300 0.875 0.875 
0.534 0.908 0.908 
0.301 0.787 0.787 
0.567 2.964 2.964 
0.334 1.356 1.356 
0.284 1.049 1.049 
0.300 0.831 0.831 
0.451 1.128 1.128 
0.384 1.400 1.400 
0.350 1.094 1.094 
0.534 0.874 0.874 
0.434 0.941 0.941 
0.417 0.776 0.776 
0.567 0.908 0.908 
0.317 1.487 1.487 
0.501 0.897 0.897 
0.500 0.699 0.699 
0.351 0.863 0.863 
0.435 0.864 0.864 
0.233 1.039 1.039 
0.217 1.028 1.028 
0.416 0.777 0.777 
0.517 0.700 0.700 
0.584 1.334 1.334 
0.250 0.842 0.842 
0.433 0.842 0.842 
0.384 0.865 0.865 
0.200 1.390 1.390 
0.334 1.804 1.804 
0.267 1.007 1.007 
0.517 0.744 0.744 
0.334 0.897 0.897 
