<><><><><><><><> 
Begin: 17-Nov-2014 12:12:55 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s51 Run Number: 2 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.000 2.213 2.213 
0.533 2.148 2.148 
0.567 1.490 1.490 
0.251 2.126 2.126 
0.567 1.908 1.908 
0.450 1.731 1.731 
0.250 2.094 2.094 
0.317 1.873 1.873 
0.417 1.993 1.993 
0.583 1.545 1.545 
0.584 1.972 1.972 
0.267 2.180 2.180 
0.584 2.201 2.201 
0.583 2.071 2.071 
0.400 2.784 2.784 
0.518 2.464 2.464 
0.267 2.103 2.103 
0.368 1.699 1.699 
0.567 2.257 2.257 
0.517 2.574 2.574 
0.583 2.377 2.377 
0.467 1.798 1.798 
0.217 1.819 1.819 
0.535 1.918 1.918 
0.584 1.709 1.709 
0.467 2.006 2.006 
0.501 1.589 1.589 
0.500 1.939 1.939 
0.367 3.989 4.563 
0.467 2.664 2.664 
0.266 2.038 2.038 
0.484 2.323 2.323 
0.216 2.214 2.214 
0.317 1.468 1.468 
0.217 2.597 2.597 
0.250 1.896 1.896 
0.534 2.158 2.158 
0.484 1.544 1.544 
0.334 1.963 1.963 
0.584 1.446 1.446 
0.217 1.500 1.500 
0.384 1.818 1.818 
0.351 1.545 1.545 
0.501 1.633 1.633 
0.517 1.578 1.578 
0.284 1.963 1.963 
0.400 1.884 1.884 
0.383 1.468 1.468 
0.467 2.004 2.004 
0.483 1.929 1.929 
0.501 1.162 1.162 
0.316 1.336 1.336 
0.467 1.721 1.721 
0.467 1.404 1.404 
0.268 1.393 1.393 
0.250 2.212 2.212 
0.401 1.326 1.326 
0.583 1.742 1.742 
0.334 2.410 2.410 
0.434 1.994 1.994 
0.300 2.507 2.507 
0.501 3.998 4.552 
0.300 1.543 1.543 
0.400 1.774 1.774 
0.484 1.720 1.720 
0.567 2.082 2.082 
0.585 1.413 1.413 
0.417 1.961 1.961 
0.250 1.940 1.940 
0.268 2.542 2.542 
0.301 2.126 2.126 
0.534 2.148 2.148 
0.300 1.533 1.533 
0.534 2.103 2.103 
0.301 2.915 2.915 
0.567 1.786 1.786 
0.335 1.741 1.741 
0.284 1.972 1.972 
0.301 1.742 1.742 
0.451 1.533 1.533 
0.385 2.015 2.015 
0.350 1.862 1.862 
0.534 1.424 1.424 
0.434 1.785 1.785 
0.418 1.675 1.675 
0.568 1.336 1.336 
0.316 2.311 2.311 
0.501 1.590 1.590 
0.500 1.282 1.282 
0.351 1.535 1.535 
0.434 1.666 1.666 
0.234 2.180 2.180 
0.217 1.436 1.436 
0.418 1.470 1.470 
0.517 1.622 1.622 
0.584 2.827 2.827 
0.249 1.228 1.228 
0.433 1.568 1.568 
0.384 1.763 1.763 
0.200 2.234 2.234 
0.335 2.431 2.431 
0.266 1.863 1.863 
0.517 1.655 1.655 
0.333 1.995 1.995 
