<><><><><><><><> 
Begin: 01-Oct-2014 14:44:10 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s19 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 3.999 4.288 
0.534 3.532 3.532 
0.567 1.805 1.805 
0.250 3.598 3.598 
0.567 3.170 3.170 
0.451 3.052 3.052 
0.234 1.410 1.410 
0.317 1.194 1.194 
0.417 3.995 4.114 
0.584 0.940 0.940 
0.584 1.576 1.576 
0.267 1.980 1.980 
0.584 2.265 2.265 
0.585 0.995 0.995 
0.400 1.358 1.358 
0.517 2.570 2.570 
0.266 2.230 2.230 
0.367 1.356 1.356 
0.566 1.225 1.225 
0.517 1.520 1.520 
0.585 1.105 1.105 
0.468 3.587 3.587 
0.216 1.618 1.618 
0.534 1.607 1.607 
0.584 1.695 1.695 
0.468 2.132 2.132 
0.500 1.552 1.552 
0.501 2.023 2.023 
0.366 2.396 2.396 
0.467 1.390 1.390 
0.267 1.039 1.039 
0.483 3.576 3.576 
0.217 2.175 2.175 
0.317 3.380 3.380 
0.217 3.193 3.193 
0.235 1.650 1.650 
0.534 1.477 1.477 
0.483 1.640 1.640 
0.334 2.275 2.275 
0.584 2.472 2.472 
0.217 1.673 1.673 
0.384 1.805 1.805 
0.350 2.766 2.766 
0.517 2.034 2.034 
0.516 2.352 2.352 
0.283 3.761 3.761 
0.401 2.342 2.342 
0.384 1.706 1.706 
0.467 2.942 2.942 
0.484 2.810 2.810 
0.500 1.926 1.926 
0.318 1.433 1.433 
0.467 2.964 2.964 
0.467 2.165 2.165 
0.267 1.247 1.247 
0.251 2.012 2.012 
0.400 3.096 3.096 
0.584 2.023 2.023 
0.335 2.340 2.340 
0.434 1.991 1.991 
0.300 1.247 1.247 
0.501 2.745 2.745 
0.301 1.565 1.565 
0.400 1.290 1.290 
0.485 2.089 2.089 
0.551 2.090 2.090 
0.584 2.405 2.405 
0.418 1.653 1.653 
0.251 1.039 1.039 
0.267 1.728 1.728 
0.300 1.860 1.860 
0.534 2.482 2.482 
0.300 1.006 1.006 
0.534 1.607 1.607 
0.300 3.467 3.467 
0.567 2.089 2.089 
0.334 1.641 1.641 
0.285 2.329 2.329 
0.300 1.510 1.510 
0.451 1.530 1.530 
0.383 1.017 1.017 
0.350 1.434 1.434 
0.534 2.079 2.079 
0.435 1.006 1.006 
0.418 2.953 2.953 
0.568 3.260 3.260 
0.317 1.422 1.422 
0.501 1.366 1.366 
0.501 1.969 1.969 
0.351 3.401 3.401 
0.434 1.497 1.497 
0.233 3.511 3.511 
0.233 1.629 1.629 
0.417 2.475 2.475 
0.517 3.020 3.020 
0.584 1.148 1.148 
0.250 2.342 2.342 
0.434 1.828 1.828 
0.384 1.662 1.662 
0.200 4.003 4.547 
0.334 3.719 3.719 
0.267 1.881 1.881 
0.517 1.509 1.509 
0.333 1.401 1.401 
