<><><><><><><><> 
Begin: 10-Nov-2014 10:34:47 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s54 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.884 0.884 
0.350 1.916 1.916 
0.584 0.646 0.646 
0.568 1.095 1.095 
0.583 1.063 1.063 
0.284 0.888 0.888 
0.267 0.723 0.723 
0.433 0.614 0.614 
0.433 0.592 0.592 
0.484 0.581 0.581 
0.317 0.811 0.811 
0.366 0.613 0.613 
0.334 0.722 0.722 
0.250 1.061 1.061 
0.234 0.625 0.625 
0.417 1.072 1.072 
0.334 0.942 0.942 
0.601 0.931 0.931 
0.484 0.602 0.602 
0.434 1.237 1.237 
0.484 0.876 0.876 
0.600 1.379 1.379 
0.366 0.604 0.604 
0.567 0.789 0.789 
0.567 0.733 0.733 
0.534 0.767 0.767 
0.218 0.822 0.822 
0.351 0.635 0.635 
0.316 1.313 1.313 
0.450 0.745 0.745 
0.251 0.712 0.712 
0.350 0.570 0.570 
0.551 0.690 0.690 
0.301 0.624 0.624 
0.217 1.129 1.129 
0.601 0.558 0.558 
0.450 0.898 0.898 
0.301 0.602 0.602 
0.383 0.722 0.722 
0.501 1.139 1.139 
0.433 0.569 0.569 
0.383 0.832 0.832 
0.450 1.150 1.150 
0.266 1.634 1.634 
0.534 0.713 0.713 
0.534 0.734 0.734 
0.401 0.613 0.613 
0.501 0.744 0.744 
0.368 1.095 1.095 
0.500 0.668 0.668 
0.267 0.953 0.953 
0.400 1.107 1.107 
0.467 0.657 0.657 
0.267 0.767 0.767 
0.233 0.985 0.985 
0.334 1.467 1.467 
0.384 0.953 0.953 
0.501 1.085 1.085 
0.250 0.580 0.580 
0.568 0.766 0.766 
0.285 0.756 0.756 
0.350 0.853 0.853 
0.367 1.073 1.073 
0.584 1.478 1.478 
0.268 0.711 0.711 
0.551 0.537 0.537 
0.418 1.948 1.948 
0.333 1.227 1.227 
0.567 0.822 0.822 
0.417 0.821 0.821 
0.384 1.380 1.380 
0.517 0.734 0.734 
0.351 0.799 0.799 
0.584 0.943 0.943 
0.417 0.723 0.723 
0.517 0.636 0.636 
0.467 1.238 1.238 
0.284 0.700 0.700 
0.534 0.767 0.767 
0.552 2.401 2.401 
0.217 1.381 1.381 
0.451 1.193 1.193 
0.317 1.478 1.478 
0.501 0.876 0.876 
0.400 1.490 1.490 
0.517 1.456 1.456 
0.418 0.909 0.909 
0.434 0.800 0.800 
0.284 1.172 1.172 
0.350 0.701 0.701 
0.317 1.260 1.260 
0.550 0.856 0.856 
0.601 1.743 1.743 
0.451 1.644 1.644 
0.567 2.509 2.509 
0.600 2.147 2.147 
0.467 1.292 1.292 
0.517 2.509 2.509 
0.367 0.580 0.580 
0.400 1.391 1.391 
0.234 1.742 1.742 
0.518 1.357 1.357 
0.350 1.183 1.183 
0.550 0.755 0.755 
