<><><><><><><><> 
Begin: 10-Mar-2014 13:30:35 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s35 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.295 0.563 
0.267 0.295 0.750 
0.417 0.285 0.432 
0.850 0.284 0.464 
0.233 0.284 0.355 
0.951 0.284 0.377 
0.784 0.295 0.295 
0.601 0.284 0.399 
0.667 0.295 0.333 
0.384 0.306 0.470 
0.567 0.295 0.476 
0.968 0.295 0.508 
0.634 0.296 0.432 
0.617 0.296 0.651 
0.384 0.296 0.530 
0.601 0.285 0.498 
0.701 0.295 0.486 
0.750 0.295 0.333 
0.517 0.295 0.497 
0.501 0.295 0.464 
1.001 0.284 0.421 
0.235 0.295 0.464 
0.917 0.285 0.519 
0.934 0.295 0.388 
0.834 0.295 0.497 
0.283 0.295 0.706 
0.417 0.284 0.596 
0.467 0.295 0.344 
0.751 0.296 0.377 
0.317 0.284 0.432 
0.784 0.295 0.586 
0.284 0.296 0.399 
0.718 0.306 0.558 
0.601 0.295 0.344 
0.818 0.307 0.393 
0.768 0.307 0.437 
0.918 0.307 0.557 
0.918 0.295 0.355 
0.467 0.295 0.497 
0.767 0.284 0.333 
0.367 0.285 0.673 
0.234 0.284 0.453 
0.800 0.295 0.355 
0.602 0.296 0.639 
0.584 0.296 0.476 
0.934 0.285 0.706 
0.684 0.296 0.465 
0.701 0.295 0.652 
0.884 0.295 0.705 
0.850 0.295 0.464 
0.667 0.296 0.639 
0.350 0.296 0.432 
0.400 0.285 0.464 
0.917 0.284 0.870 
0.217 0.306 0.459 
0.601 0.285 0.377 
0.334 0.296 0.498 
0.984 0.295 0.508 
0.768 0.297 0.344 
0.600 0.295 0.388 
0.584 0.296 0.508 
0.250 0.295 0.420 
0.750 0.296 0.530 
0.233 0.296 0.454 
0.267 0.285 0.377 
0.618 0.295 0.322 
0.284 0.295 0.596 
0.851 0.295 0.640 
0.851 0.295 0.475 
0.784 0.295 0.432 
0.317 0.296 0.486 
0.734 0.296 0.629 
0.616 0.296 0.618 
0.984 0.295 0.322 
0.717 0.296 0.377 
0.834 0.306 0.306 
0.567 0.296 0.662 
0.551 0.296 0.519 
0.868 0.285 0.344 
0.266 0.296 0.421 
0.301 0.307 0.328 
0.334 0.307 0.623 
0.517 0.295 0.366 
0.868 0.295 0.508 
0.851 0.284 0.333 
0.250 0.296 0.498 
0.516 0.295 0.530 
0.617 0.306 0.383 
0.534 0.296 0.465 
0.734 0.284 0.399 
0.701 0.295 0.574 
0.434 0.295 0.706 
0.551 0.295 0.749 
0.216 0.296 0.498 
0.984 0.296 0.410 
0.334 0.296 0.454 
0.284 0.295 0.486 
0.501 0.295 0.322 
0.367 0.284 0.355 
0.601 0.284 0.431 
0.467 0.307 0.329 
0.968 0.296 0.793 
0.934 0.295 0.574 
0.250 0.284 0.585 
0.801 0.284 0.519 
0.417 0.295 0.674 
0.534 0.306 0.568 
0.634 0.306 0.503 
0.951 0.296 0.519 
0.533 0.295 0.333 
0.984 0.295 0.322 
