<><><><><><><><> 
Begin: 07-Oct-2014 18:30:01 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s30 Run Number: 6 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 1.173 1.173 
0.534 0.711 0.711 
0.567 1.193 1.193 
0.250 0.821 0.821 
0.567 0.842 0.842 
0.450 0.821 0.821 
0.233 0.711 0.711 
0.317 0.689 0.689 
0.417 1.029 1.029 
0.584 0.810 0.810 
0.584 0.984 0.984 
0.267 1.225 1.225 
0.584 1.247 1.247 
0.584 0.798 0.798 
0.400 0.788 0.788 
0.517 1.335 1.335 
0.250 0.853 0.853 
0.367 0.908 0.908 
0.567 0.679 0.679 
0.517 0.810 0.810 
0.584 0.700 0.700 
0.467 0.755 0.755 
0.217 0.930 0.930 
0.534 1.039 1.039 
0.584 0.765 0.765 
0.467 0.646 0.646 
0.501 0.810 0.810 
0.501 0.634 0.634 
0.350 0.874 0.874 
0.467 1.236 1.236 
0.267 0.908 0.908 
0.484 1.193 1.193 
0.217 1.477 1.477 
0.317 1.368 1.368 
0.217 1.006 1.006 
0.233 0.777 0.777 
0.534 1.138 1.138 
0.484 0.930 0.930 
0.334 0.645 0.645 
0.584 0.678 0.678 
0.217 0.645 0.645 
0.384 0.711 0.711 
0.350 0.635 0.635 
0.500 0.634 0.634 
0.517 0.525 0.525 
0.284 0.580 0.580 
0.400 0.547 0.547 
0.384 0.929 0.929 
0.467 0.909 0.909 
0.484 1.215 1.215 
0.501 1.149 1.149 
0.317 1.083 1.083 
0.467 1.083 1.083 
0.467 1.456 1.456 
0.267 0.689 0.689 
0.250 1.061 1.061 
0.400 1.356 1.356 
0.584 1.619 1.619 
0.334 0.832 0.832 
0.434 1.072 1.072 
0.300 0.591 0.591 
0.501 0.623 0.623 
0.300 0.613 0.613 
0.400 0.712 0.712 
0.484 0.624 0.624 
0.550 0.800 0.800 
0.584 0.788 0.788 
0.417 1.182 1.182 
0.250 1.150 1.150 
0.267 1.051 1.051 
0.300 1.050 1.050 
0.534 1.608 1.608 
0.300 0.831 0.831 
0.534 0.854 0.854 
0.300 1.094 1.094 
0.567 0.930 0.930 
0.333 0.634 0.634 
0.284 0.832 0.832 
0.300 1.094 1.094 
0.450 0.887 0.887 
0.383 1.039 1.039 
0.350 1.171 1.171 
0.534 1.182 1.182 
0.434 1.423 1.423 
0.417 0.766 0.766 
0.567 1.445 1.445 
0.317 0.821 0.821 
0.501 1.762 1.762 
0.501 1.182 1.182 
0.350 1.346 1.346 
0.434 1.094 1.094 
0.234 1.051 1.051 
0.217 0.962 0.962 
0.417 1.740 1.740 
0.517 0.951 0.951 
0.584 0.897 0.897 
0.250 0.831 0.831 
0.434 1.292 1.292 
0.384 0.700 0.700 
0.200 0.744 0.744 
0.334 0.722 0.722 
0.267 1.106 1.106 
0.517 0.623 0.623 
0.334 0.219 0.219 
