<><><><><><><><> 
Begin: 06-Feb-2014 14:37:53 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s10 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.295 1.002 
0.266 0.295 0.311 
0.418 0.285 0.421 
0.850 0.284 0.410 
0.234 0.284 0.990 
0.951 0.284 0.475 
0.785 0.296 0.682 
0.601 0.284 0.661 
0.667 0.296 0.311 
0.400 0.284 0.432 
0.569 0.296 0.355 
0.967 0.295 0.295 
0.634 0.306 0.404 
0.617 0.295 0.421 
0.383 0.295 1.001 
0.601 0.285 0.344 
0.700 0.295 1.001 
0.751 0.284 0.989 
0.516 0.295 0.509 
0.501 0.295 0.651 
1.001 0.284 0.486 
0.234 0.295 0.814 
0.917 0.285 0.377 
0.934 0.296 0.595 
0.835 0.296 0.463 
0.283 0.295 0.935 
0.417 0.284 0.464 
0.468 0.296 0.376 
0.751 0.295 0.509 
0.317 0.284 0.727 
0.783 0.295 0.574 
0.285 0.295 0.398 
0.719 0.175 0.175 
0.600 0.296 0.377 
0.834 0.263 0.263 
0.768 0.306 1.006 
0.918 0.306 0.339 
0.918 0.297 0.343 
0.468 0.296 0.442 
0.767 0.284 0.989 
0.366 0.284 0.344 
0.234 0.284 0.399 
0.801 0.295 0.990 
0.601 0.230 0.230 
0.584 0.295 0.312 
0.934 0.284 0.366 
0.685 0.296 1.001 
0.701 0.230 0.230 
0.885 0.295 1.001 
0.852 0.252 0.252 
0.667 0.295 0.466 
0.351 0.296 0.442 
0.400 0.284 0.421 
0.917 0.284 0.356 
0.217 0.306 0.514 
0.600 0.285 0.442 
0.335 0.296 0.409 
0.983 0.295 1.000 
0.768 0.295 0.410 
0.602 0.296 0.616 
0.584 0.285 0.662 
0.251 0.296 0.453 
0.750 0.295 0.520 
0.235 0.295 1.000 
0.267 0.175 0.175 
0.618 0.295 0.475 
0.284 0.296 0.760 
0.850 0.306 0.328 
0.850 0.295 0.389 
0.785 0.296 0.989 
0.316 0.306 0.492 
0.733 0.295 0.312 
0.617 0.295 0.573 
0.984 0.295 0.531 
0.718 0.296 0.365 
0.835 0.306 0.536 
0.566 0.295 0.991 
0.551 0.295 0.332 
0.868 0.295 0.641 
0.268 0.295 0.607 
0.316 0.285 0.727 
0.334 0.297 0.707 
0.517 0.296 0.377 
0.869 0.296 0.727 
0.851 0.285 0.618 
0.251 0.295 0.617 
0.517 0.296 0.618 
0.618 0.295 0.848 
0.534 0.296 1.001 
0.734 0.285 0.990 
0.700 0.296 0.945 
0.433 0.296 1.001 
0.551 0.296 0.989 
0.217 0.295 0.573 
0.984 0.296 0.672 
0.333 0.296 0.453 
0.284 0.295 0.671 
0.500 0.296 0.563 
0.367 0.285 0.814 
0.600 0.284 0.400 
0.468 0.306 0.503 
0.967 0.296 0.706 
0.934 0.296 0.475 
0.250 0.285 0.618 
0.801 0.284 0.717 
0.418 0.296 0.825 
0.533 0.306 0.459 
0.633 0.306 0.864 
0.951 0.296 0.628 
0.534 0.298 0.585 
0.985 0.295 0.737 
