0,40,1,2,0,0.36047
1,101,2,1,0,0.39592
1,30,1,1,1,0.67151
0,48,1,2,0,0.39864
0,75,2,2,1,0.34434
0,63,2,2,1,0.2956
0,10,1,2,0,0.37808
1,55,1,1,1,0.46532
0,103,2,2,1,0.26265
1,98,2,1,0,0.32219
1,63,2,1,0,0.35619
0,14,1,2,0,0.3659
1,45,1,1,1,0.27428
1,39,1,1,1,0.33301
1,103,2,1,0,0.31041
0,56,1,2,0,0.32807
0,91,2,2,1,0.45323
1,59,1,1,1,0.42098
0,97,2,2,1,0.33306
0,26,1,2,0,0.44251
0,8,1,1,1,0.35556
0,5,1,1,1,0.33341
0,79,2,1,0,0.36575
1,71,2,1,0,0.45277
1,28,1,NaN,NaN,NaN
0,108,2,2,1,0.37716
0,31,1,1,1,0.50849
0,20,1,2,0,0.32307
1,84,2,1,0,0.38816
1,117,2,NaN,NaN,NaN
1,26,1,1,1,0.36591
1,7,1,1,1,0.42197
0,93,2,2,1,0.32263
1,54,1,1,1,0.32351
1,32,1,1,1,0.41064
1,68,2,1,0,0.36646
1,2,1,NaN,NaN,NaN
0,88,2,2,1,0.29509
0,113,2,2,1,0.345
1,44,1,1,1,0.30644
0,17,1,2,0,0.34282
0,51,1,1,1,0.40923
1,78,2,2,1,0.3232
1,67,2,1,0,0.29615
1,82,2,1,0,0.4206
0,90,2,2,1,0.29548
1,23,1,1,1,0.34417
1,61,2,1,0,0.47589
0,67,2,2,1,0.42995
1,58,1,1,1,0.37182
1,72,2,1,0,0.39827
1,65,2,2,1,0.37718
0,99,2,2,1,0.41989
0,22,1,2,0,0.35028
1,112,2,1,0,0.29511
0,78,2,2,1,0.34928
1,50,1,1,1,0.44324
0,110,2,2,1,0.3114
0,43,1,1,1,0.48149
1,33,1,2,0,0.37595
0,72,2,2,1,0.45438
0,112,2,2,1,0.50816
0,8,1,2,0,0.37702
0,89,2,2,1,0.32308
1,36,1,1,1,0.29596
0,119,2,2,1,0.32807
0,42,1,2,0,0.35627
1,104,2,2,1,0.43126
1,58,1,1,1,0.32835
0,28,1,2,0,0.25205
1,111,2,2,1,0.35607
0,16,1,1,1,0.31114
0,70,2,1,0,0.50291
0,41,1,2,0,0.44317
1,35,1,1,1,0.34515
1,73,2,1,0,0.31215
0,69,2,2,1,0.333
0,6,1,1,1,0.33938
1,53,1,2,0,0.33446
0,56,1,2,0,0.4098
1,95,2,1,0,0.27346
1,29,1,NaN,NaN,NaN
0,68,2,2,1,0.3116
1,42,1,1,1,0.45465
1,57,1,2,0,0.28497
1,104,2,2,1,0.43139
0,24,1,1,1,0.37724
1,76,2,1,0,0.55299
1,49,1,1,1,0.68368
0,113,2,2,1,0.36681
0,102,2,2,1,0.38793
1,13,1,1,1,0.40926
0,10,1,2,0,0.31136
0,62,2,2,1,0.39379
0,74,2,1,0,0.45333
1,15,1,NaN,NaN,NaN
0,19,1,2,0,0.35471
0,9,1,2,0,0.45356
1,116,2,1,0,0.3661
1,80,2,1,0,0.49619
0,22,1,2,0,0.33325
0,12,1,2,0,0.54104
1,62,2,1,0,0.43164
1,117,2,2,1,0.4427
0,23,1,1,1,0.61761
0,46,1,1,1,0.45395
0,76,2,1,0,0.39869
1,120,2,2,1,0.48622
1,7,1,2,0,0.40978
1,96,2,2,1,0.55166
1,51,1,1,1,0.33432
1,96,2,1,0,0.32713
0,99,2,1,0,0.44174
0,79,2,2,1,0.3279
0,81,2,2,1,0.3606
0,2,1,2,0,0.35578
0,16,1,2,0,0.31149
1,100,2,1,0,0.28437
1,35,1,1,1,0.49842
1,107,2,2,1,0.41019
0,118,2,2,1,0.32215
1,85,2,1,0,0.32775
1,43,1,2,0,0.3495
1,34,1,1,1,0.22641
0,11,1,2,0,0.30732
0,40,1,2,0,0.28505
1,94,2,1,0,0.27338
0,21,1,2,0,0.29549
1,29,1,1,1,0.31162
0,45,1,2,0,0.33298
0,108,2,NaN,NaN,NaN
1,106,2,1,0,0.36698
0,30,1,NaN,NaN,NaN
0,85,2,2,1,0.32222
1,59,1,1,1,0.36506
1,33,1,2,0,0.42206
1,27,1,1,1,0.38712
1,46,1,1,1,0.33301
0,95,2,NaN,NaN,NaN
0,1,1,2,0,0.36594
0,80,2,NaN,NaN,NaN
0,74,2,1,0,0.2951
1,75,2,1,0,0.55223
1,93,2,2,1,0.4639
1,20,1,2,0,0.42134
0,38,1,2,0,0.33328
1,82,2,1,0,0.066077
0,120,2,2,1,0.31097
1,111,2,1,0,0.22976
1,37,1,2,0,0.32227
0,105,2,1,0,0.33322
1,83,2,2,1,0.3769
1,86,2,2,1,0.32762
1,25,1,2,0,0.31168
0,37,1,1,1,0.33407
1,107,2,1,0,0.29562
1,71,2,2,1,0.26227
1,100,2,2,1,0.28477
0,38,1,1,1,0.011004
0,88,2,NaN,NaN,NaN
0,64,2,2,1,0.34404
1,102,2,1,0,0.31157
0,3,1,2,0,0.37638
1,65,2,1,0,0.36525
1,24,1,NaN,NaN,NaN
0,66,2,2,1,0.37735
0,12,1,2,0,0.43207
1,48,1,NaN,NaN,NaN
1,92,2,1,0,0.28479
1,87,2,NaN,NaN,NaN
0,60,1,2,0,0.40951
0,105,2,1,0,0.53556
0,53,1,2,0,0.27343
0,47,1,NaN,NaN,NaN
1,91,2,1,0,0.28454
1,34,1,NaN,NaN,NaN
1,94,2,2,1,0.38777
1,77,2,NaN,NaN,NaN
1,114,2,NaN,NaN,NaN
0,25,1,2,0,0.26262
0,54,1,2,0,0.31143
0,39,1,2,0,0.31146
1,109,2,1,0,0.27345
1,17,1,1,1,0.46549
0,116,2,2,1,0.33302
1,15,1,NaN,NaN,NaN
1,5,1,2,0,0.37646
1,18,1,2,0,0.34452
1,4,1,1,1,0.35441
1,61,2,1,0,0.31121
