1,104,2,4,1.5986
1,15,1,3,2.2976
0,79,2,6,4.1734
1,71,2,6,0.83124
1,6,1,1,1.7063
1,66,2,6,1.4891
1,23,1,3,1.3359
0,11,1,5,2.5153
1,9,1,1,2.0904
1,116,2,4,1.9358
1,7,1,1,1.5749
0,30,1,1,1.3132
1,73,2,7,1.2483
0,103,2,6,1.8057
1,24,1,4,2.3739
1,89,2,7,2.5174
0,84,2,6,1.0617
0,102,2,7,1.2366
1,63,2,7,1.3448
1,112,2,6,1.2258
0,83,2,5,1.2472
0,34,1,3,1.4333
0,98,2,4,1.7399
1,49,1,2,1.2033
0,27,1,1,1.0386
0,69,2,6,1.4115
1,91,2,6,0.94076
1,81,2,7,1.1274
1,66,2,5,1.1815
1,40,1,1,1.6851
0,16,1,2,0.95138
0,110,2,6,0.76621
1,98,2,6,1.138
1,23,1,2,1.0725
0,45,1,1,1.1279
0,50,1,1,0.71096
0,47,1,1,1.2702
1,100,2,7,1.5754
0,52,1,4,1.7393
1,70,2,5,2.0997
1,97,2,4,1.5967
1,102,2,7,1.6522
0,85,2,6,1.116
0,77,2,5,1.3131
1,21,1,2,1.1157
0,60,1,2,1.422
0,104,2,6,1.4342
1,78,2,5,1.4216
1,68,2,6,0.91871
1,106,2,6,1.2028
0,74,2,7,1.2913
1,25,1,1,1.4983
0,74,2,7,0.93089
0,72,2,6,1.0496
1,109,2,6,0.86462
0,7,1,2,0.95129
0,55,1,2,0.56889
1,44,1,1,0.98479
0,22,1,3,1.522
0,20,1,2,0.70042
0,15,1,2,0.7339
0,35,1,2,0.744
1,81,2,7,0.75583
1,101,2,6,1.2039
1,48,1,1,1.3017
1,58,1,2,0.76611
1,108,2,5,1.3566
0,44,1,2,1.1047
0,106,2,5,1.3126
0,26,1,3,1.9807
1,56,1,2,1.1925
0,32,1,3,1.1049
1,70,2,5,1.1266
0,33,1,2,0.83168
1,43,1,2,0.71096
0,114,2,5,1.5321
0,58,1,1,1.2024
1,16,1,2,0.9643
0,68,2,5,1.1826
0,103,2,5,0.56889
0,111,2,4,0.87603
0,96,2,5,0.62389
0,80,2,5,1.1154
0,94,2,6,1.3469
1,42,1,1,1.0068
0,22,1,2,0.88645
0,65,2,5,0.97428
1,108,2,6,1.8158
0,110,2,6,1.0194
1,24,1,3,1.5884
0,45,1,1,1.194
0,60,1,2,1.171
0,12,1,2,0.98554
0,39,1,1,1.0933
0,56,1,1,0.66738
1,94,2,6,1.1485
1,30,1,1,0.87476
0,107,2,6,0.72234
0,77,2,5,0.77648
0,17,1,3,1.8927
1,75,2,6,4.3973
1,89,2,6,0.84227
0,4,1,3,1.3666
1,80,2,5,1.5639
1,32,1,3,1.0499
0,3,1,3,1.1042
1,88,2,6,1.0609
1,12,1,3,1.466
0,28,1,2,0.92927
0,118,2,6,1.477
1,76,2,6,1.2686
1,35,1,1,1.3228
1,57,1,2,0.75522
0,29,1,2,1.4332
0,38,1,1,1.4991
0,119,2,6,1.5533
0,42,1,2,1.203
1,96,2,6,1.925
0,107,2,7,1.1381
0,25,1,3,2.3634
1,31,1,2,1.9794
1,82,2,4,1.6631
1,41,1,2,1.3129
0,20,1,1,0.89643
0,18,1,2,0.97388
0,39,1,2,0.70033
1,117,2,7,0.85437
1,28,1,2,1.0503
1,59,1,2,0.86438
1,2,1,3,0.76579
1,48,1,2,0.63465
1,8,1,2,0.66724
1,83,2,6,1.4662
1,112,2,6,0.95138
0,116,2,6,1.6086
1,99,2,3,1.3132
1,118,2,6,1.6953
0,97,2,6,1.4995
0,99,2,4,1.1714
0,37,1,2,1.2247
1,93,2,6,1.0508
0,3,1,3,1.8271
1,29,1,3,1.3013
1,62,2,6,1.8152
1,26,1,3,0.96318
0,51,1,3,1.0061
1,49,1,3,0.94109
1,53,1,2,0.63432
0,38,1,1,0.66762
0,114,2,6,2.2763
1,109,2,6,0.72226
0,21,1,2,0.79863
0,36,1,3,1.0068
0,115,2,6,0.79887
1,46,1,2,0.90803
1,59,1,2,0.61288
0,5,1,2,1.0067
0,120,2,6,1.3456
1,91,2,7,1.7186
1,61,2,7,0.97406
0,76,2,7,0.98509
0,85,2,6,0.76591
0,41,1,2,0.99546
0,113,2,6,0.87481
0,64,2,6,0.95263
0,6,1,3,0.99524
1,65,2,5,1.0499
0,43,1,2,1.4882
1,113,2,4,1.6622
0,105,2,5,1.5089
1,8,1,2,1.3997
0,54,1,1,0.75529
0,14,1,1,0.7
1,62,2,6,1.4002
1,82,2,3,2.0785
0,10,1,2,0.78815
1,111,2,5,1.116
1,36,1,2,0.74445
0,67,2,5,0.9184
0,5,1,3,1.9362
0,33,1,2,0.85336
0,53,1,2,0.61309
0,50,1,2,0.67758
1,17,1,3,2.3199
0,86,2,6,1.2294
1,47,1,3,0.88329
0,1,1,3,1.0529
0,4,1,3,0.67805
0,120,2,6,0.87528
1,55,1,2,0.83237
0,92,2,5,0.88617
0,2,1,3,1.6745
1,18,1,2,0.72267
0,69,2,6,0.96341
1,87,2,6,1.1703
1,13,1,2,1.029
0,119,2,6,1.3893
0,63,2,6,1.3563
0,73,2,6,1.0941
0,9,1,2,0.98483
0,57,1,2,0.65639
1,51,1,2,0.82096
1,100,2,7,2.2539
1,72,2,6,0.71166
1,92,2,6,1.4662
1,86,2,6,0.96318
1,40,1,2,1.0828
1,10,1,2,1.2793
1,13,1,2,0.89687
0,90,2,5,1.1698
0,78,2,5,0.62368
1,75,2,5,0.76647
1,117,2,7,1.029
0,1,1,1,0.98465
1,87,2,4,1.8823
1,67,2,2,2.8874
0,14,1,2,1.1825
0,64,2,6,0.74394
1,79,2,5,1.7064
1,46,1,2,0.97395
1,19,1,1,1.6846
1,93,2,6,1.5422
1,71,2,6,0.70025
1,34,1,2,0.91913
0,105,2,6,0.96299
1,95,2,2,1.9138
1,52,1,3,1.0286
0,37,1,2,2.1449
0,11,1,4,1.641
1,95,2,4,1.4436
0,61,2,6,1.1167
0,84,2,5,1.6196
1,31,1,2,0.84253
1,88,2,6,0.88621
1,101,2,6,0.93014
1,27,1,3,1.5309
0,19,1,2,1.3679
1,115,2,6,1.5749
0,54,1,1,1.2248
1,90,2,5,1.5532
