<><><><><><><><> 
Begin: 02-Oct-2014 16:53:13 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s33 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 2.813 2.813 
0.534 1.215 1.215 
0.567 1.695 1.695 
0.250 2.363 2.363 
0.567 1.105 1.105 
0.451 1.181 1.181 
0.234 1.007 1.007 
0.318 0.930 0.930 
0.417 1.083 1.083 
0.584 0.821 0.821 
0.584 1.324 1.324 
0.267 1.137 1.137 
0.584 1.039 1.039 
0.585 1.313 1.313 
0.400 1.345 1.345 
0.517 1.215 1.215 
0.267 1.281 1.281 
0.367 1.378 1.378 
0.567 0.853 0.853 
0.518 1.969 1.969 
0.584 1.226 1.226 
0.466 1.084 1.084 
0.217 1.257 1.257 
0.550 0.929 0.929 
0.584 1.226 1.226 
0.468 1.684 1.684 
0.500 0.985 0.985 
0.501 1.094 1.094 
0.367 0.886 0.886 
0.467 0.962 0.962 
0.268 1.346 1.346 
0.483 1.061 1.061 
0.216 1.422 1.422 
0.317 1.412 1.412 
0.216 1.160 1.160 
0.250 0.886 0.886 
0.534 1.040 1.040 
0.483 1.444 1.444 
0.334 0.909 0.909 
0.584 0.876 0.876 
0.216 1.357 1.357 
0.384 1.259 1.259 
0.350 2.209 2.209 
0.517 1.324 1.324 
0.517 1.072 1.072 
0.283 1.051 1.051 
0.401 1.028 1.028 
0.384 0.897 0.897 
0.467 1.389 1.389 
0.484 1.018 1.018 
0.501 1.181 1.181 
0.317 1.816 1.816 
0.467 1.172 1.172 
0.467 0.985 0.985 
0.266 1.302 1.302 
0.250 0.974 0.974 
0.400 1.466 1.466 
0.585 0.810 0.810 
0.334 2.112 2.112 
0.434 1.696 1.696 
0.285 1.860 1.860 
0.500 1.106 1.106 
0.300 0.668 0.668 
0.401 0.973 0.973 
0.483 0.810 0.810 
0.567 1.346 1.346 
0.584 1.072 1.072 
0.417 1.029 1.029 
0.251 1.214 1.214 
0.267 1.533 1.533 
0.301 1.586 1.586 
0.534 2.001 2.001 
0.300 1.040 1.040 
0.534 1.849 1.849 
0.301 1.423 1.423 
0.567 1.388 1.388 
0.350 0.011 0.011 
0.284 2.407 2.407 
0.300 1.411 1.411 
0.450 1.738 1.738 
0.400 1.225 1.225 
0.349 0.974 0.974 
0.534 1.717 1.717 
0.434 2.341 2.341 
0.416 1.455 1.455 
0.567 2.758 2.758 
0.316 0.951 0.951 
0.500 1.717 1.717 
0.501 1.192 1.192 
0.350 1.312 1.312 
0.434 0.733 0.733 
0.234 0.820 0.820 
0.217 1.629 1.629 
0.417 0.964 0.964 
0.518 0.942 0.942 
0.584 1.718 1.718 
0.251 2.068 2.068 
0.434 0.941 0.941 
0.384 1.533 1.533 
0.201 3.086 3.086 
0.333 1.095 1.095 
0.266 1.171 1.171 
0.518 1.182 1.182 
0.334 1.105 1.105 
