<><><><><><><><> 
Begin: 02-Oct-2014 16:33:35 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s33 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 1.686 1.686 
0.534 3.795 3.795 
0.567 1.575 1.575 
0.250 3.039 3.039 
0.568 0.974 0.974 
0.450 0.929 0.929 
0.234 1.301 1.301 
0.317 1.739 1.739 
0.418 1.017 1.017 
0.585 1.248 1.248 
0.583 0.974 0.974 
0.268 1.203 1.203 
0.583 2.242 2.242 
0.584 1.869 1.869 
0.400 1.522 1.522 
0.517 1.378 1.378 
0.266 1.587 1.587 
0.367 2.921 2.921 
0.567 2.613 2.613 
0.517 1.237 1.237 
0.583 2.801 2.801 
0.467 2.846 2.846 
0.216 3.042 3.042 
0.550 0.886 0.886 
0.584 2.789 2.789 
0.468 1.192 1.192 
0.501 1.248 1.248 
0.501 3.018 3.018 
0.367 1.608 1.608 
0.467 3.117 3.117 
0.266 3.346 3.346 
0.484 0.798 0.798 
0.216 2.932 2.932 
0.317 1.958 1.958 
0.216 1.705 1.705 
0.233 1.498 1.498 
0.533 2.450 2.450 
0.484 2.800 2.800 
0.334 3.435 3.435 
0.584 1.105 1.105 
0.217 2.747 2.747 
0.384 2.175 2.175 
0.350 3.369 3.369 
0.517 3.008 3.008 
0.517 1.664 1.664 
0.283 2.428 2.428 
0.401 2.505 2.505 
0.383 0.929 0.929 
0.467 1.444 1.444 
0.484 1.684 1.684 
0.501 1.640 1.640 
0.317 1.433 1.433 
0.468 2.089 2.089 
0.468 1.215 1.215 
0.267 2.493 2.493 
0.250 2.166 2.166 
0.400 3.203 3.203 
0.584 1.718 1.718 
0.334 2.615 2.615 
0.434 2.332 2.332 
0.284 1.991 1.991 
0.501 1.192 1.192 
0.301 1.619 1.619 
0.401 1.301 1.301 
0.484 1.454 1.454 
0.567 1.367 1.367 
0.584 1.476 1.476 
0.418 1.806 1.806 
0.266 3.665 3.665 
0.267 1.805 1.805 
0.300 2.899 2.899 
0.534 2.616 2.616 
0.300 1.258 1.258 
0.533 1.652 1.652 
0.300 1.061 1.061 
0.568 1.280 1.280 
0.350 3.139 3.139 
0.283 1.040 1.040 
0.300 0.952 0.952 
0.450 2.833 2.833 
0.384 0.941 0.941 
0.350 1.882 1.882 
0.534 1.377 1.377 
0.434 1.291 1.291 
0.417 1.192 1.192 
0.568 3.205 3.205 
0.317 2.189 2.189 
0.501 2.910 2.910 
0.501 1.335 1.335 
0.350 3.008 3.008 
0.434 1.334 1.334 
0.235 2.669 2.669 
0.217 1.312 1.312 
0.417 1.696 1.696 
0.517 3.172 3.172 
0.584 2.363 2.363 
0.251 1.401 1.401 
0.434 0.919 0.919 
0.384 3.357 3.357 
0.201 1.742 1.742 
0.334 1.620 1.620 
0.267 1.367 1.367 
0.518 1.433 1.433 
0.334 1.290 1.290 
