<><><><><><><><> 
Begin: 02-Oct-2014 17:22:19 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s33 Run Number: 6 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.000 3.248 3.248 
0.534 1.859 1.859 
0.567 0.831 0.831 
0.250 1.170 1.170 
0.567 0.788 0.788 
0.451 3.160 3.160 
0.234 1.520 1.520 
0.317 1.905 1.905 
0.418 2.089 2.089 
0.584 1.641 1.641 
0.585 1.007 1.007 
0.266 2.123 2.123 
0.584 0.788 0.788 
0.584 1.368 1.368 
0.400 1.235 1.235 
0.516 1.171 1.171 
0.266 1.094 1.094 
0.367 1.018 1.018 
0.567 0.951 0.951 
0.518 1.401 1.401 
0.585 1.116 1.116 
0.467 1.433 1.433 
0.217 1.127 1.127 
0.535 1.104 1.104 
0.584 0.908 0.908 
0.467 1.410 1.410 
0.500 2.516 2.516 
0.501 1.542 1.542 
0.367 1.696 1.696 
0.467 2.242 2.242 
0.268 2.067 2.067 
0.484 2.462 2.462 
0.217 2.636 2.636 
0.318 0.909 0.909 
0.216 1.729 1.729 
0.233 2.419 2.419 
0.534 0.930 0.930 
0.483 1.138 1.138 
0.333 1.061 1.061 
0.584 1.138 1.138 
0.217 0.929 0.929 
0.384 0.898 0.898 
0.350 1.674 1.674 
0.501 0.853 0.853 
0.516 1.040 1.040 
0.284 0.996 0.996 
0.401 1.782 1.782 
0.385 0.897 0.897 
0.467 1.028 1.028 
0.484 0.941 0.941 
0.501 1.969 1.969 
0.317 3.315 3.315 
0.467 1.334 1.334 
0.468 1.105 1.105 
0.267 2.723 2.723 
0.250 1.279 1.279 
0.401 0.831 0.831 
0.584 0.820 0.820 
0.334 1.160 1.160 
0.434 1.192 1.192 
0.300 0.810 0.810 
0.500 0.907 0.907 
0.301 1.116 1.116 
0.400 1.532 1.532 
0.484 0.820 0.820 
0.551 1.477 1.477 
0.583 0.754 0.754 
0.417 0.964 0.964 
0.251 0.853 0.853 
0.267 2.012 2.012 
0.300 1.400 1.400 
0.535 1.061 1.061 
0.300 1.914 1.914 
0.534 1.149 1.149 
0.300 1.061 1.061 
0.568 1.215 1.215 
0.349 1.466 1.466 
0.284 1.203 1.203 
0.301 0.929 0.929 
0.451 3.183 3.183 
0.400 2.340 2.340 
0.350 2.670 2.670 
0.533 1.182 1.182 
0.434 1.027 1.027 
0.417 1.171 1.171 
0.567 1.608 1.608 
0.318 1.816 1.816 
0.501 1.105 1.105 
0.500 1.116 1.116 
0.351 1.718 1.718 
0.434 0.864 0.864 
0.234 0.973 0.973 
0.218 1.149 1.149 
0.417 0.865 0.865 
0.517 1.084 1.084 
0.584 2.056 2.056 
0.251 2.014 2.014 
0.434 1.576 1.576 
0.385 1.532 1.532 
0.216 2.669 2.669 
0.335 1.390 1.390 
0.266 2.077 2.077 
0.517 0.831 0.831 
0.334 1.116 1.116 
