<><><><><><><><> 
Begin: 24-Oct-2014 14:26:55 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s46 Run Number: 6 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 2.242 2.242 
0.534 2.319 2.319 
0.567 1.992 1.992 
0.250 2.034 2.034 
0.568 0.820 0.820 
0.451 0.842 0.842 
0.249 0.667 0.667 
0.318 0.940 0.940 
0.417 1.608 1.608 
0.583 1.324 1.324 
0.585 0.766 0.766 
0.267 0.908 0.908 
0.585 0.919 0.919 
0.584 0.722 0.722 
0.401 0.842 0.842 
0.517 0.908 0.908 
0.267 1.203 1.203 
0.368 0.776 0.776 
0.567 0.580 0.580 
0.517 0.536 0.536 
0.583 0.635 0.635 
0.468 0.755 0.755 
0.217 0.755 0.755 
0.534 0.766 0.766 
0.568 0.765 0.765 
0.468 0.591 0.591 
0.502 0.558 0.558 
0.501 0.537 0.537 
0.366 1.062 1.062 
0.467 1.203 1.203 
0.266 1.685 1.685 
0.484 1.215 1.215 
0.217 2.143 2.143 
0.318 1.871 1.871 
0.217 1.487 1.487 
0.235 1.236 1.236 
0.534 0.963 0.963 
0.485 0.711 0.711 
0.334 1.017 1.017 
0.584 0.864 0.864 
0.216 0.919 0.919 
0.383 1.455 1.455 
0.350 2.276 2.276 
0.501 0.953 0.953 
0.518 0.842 0.842 
0.284 2.024 2.024 
0.401 1.924 1.924 
0.384 1.510 1.510 
0.467 0.580 0.580 
0.484 0.941 0.941 
0.501 1.531 1.531 
0.316 1.247 1.247 
0.467 0.755 0.755 
0.468 1.334 1.334 
0.267 0.744 0.744 
0.250 0.951 0.951 
0.401 0.733 0.733 
0.585 0.623 0.623 
0.334 1.542 1.542 
0.434 2.199 2.199 
0.300 0.865 0.865 
0.501 2.078 2.078 
0.300 1.181 1.181 
0.401 1.050 1.050 
0.484 0.832 0.832 
0.551 0.973 0.973 
0.584 0.700 0.700 
0.418 2.309 2.309 
0.251 0.712 0.712 
0.267 0.623 0.623 
0.301 0.602 0.602 
0.534 0.908 0.908 
0.301 0.887 0.887 
0.533 1.083 1.083 
0.300 0.897 0.897 
0.567 0.875 0.875 
0.350 1.324 1.324 
0.284 0.843 0.843 
0.300 1.149 1.149 
0.450 1.301 1.301 
0.384 1.466 1.466 
0.350 1.017 1.017 
0.535 0.951 0.951 
0.434 0.755 0.755 
0.417 1.051 1.051 
0.567 0.985 0.985 
0.317 2.024 2.024 
0.500 0.952 0.952 
0.501 2.165 2.165 
0.350 2.460 2.460 
0.433 0.929 0.929 
0.234 1.050 1.050 
0.218 2.439 2.439 
0.416 1.127 1.127 
0.517 1.148 1.148 
0.584 1.290 1.290 
0.251 0.930 0.930 
0.433 1.553 1.553 
0.384 1.740 1.740 
0.201 0.864 0.864 
0.334 0.733 0.733 
0.268 1.061 1.061 
0.517 0.897 0.897 
0.334 1.061 1.061 
