<><><><><><><><> 
Begin: 28-Sep-2014 10:38:48 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s41 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.002 3.996 5.996 
0.533 1.467 1.467 
0.568 1.532 1.532 
0.251 3.992 4.049 
0.567 3.064 3.064 
0.451 4.005 4.064 
0.234 1.259 1.259 
0.317 1.160 1.160 
0.418 1.663 1.663 
0.583 1.554 1.554 
0.584 1.072 1.072 
0.266 1.498 1.498 
0.584 1.138 1.138 
0.583 1.105 1.105 
0.401 0.875 0.875 
0.517 1.061 1.061 
0.267 0.930 0.930 
0.366 0.843 0.843 
0.567 1.390 1.390 
0.517 1.105 1.105 
0.584 1.203 1.203 
0.467 1.707 1.707 
0.217 0.941 0.941 
0.550 1.215 1.215 
0.583 0.953 0.953 
0.468 1.249 1.249 
0.501 0.942 0.942 
0.501 1.192 1.192 
0.366 1.619 1.619 
0.468 1.346 1.346 
0.267 1.773 1.773 
0.484 0.821 0.821 
0.216 1.105 1.105 
0.317 2.178 2.178 
0.217 1.247 1.247 
0.235 1.490 1.490 
0.533 0.952 0.952 
0.483 1.137 1.137 
0.334 1.007 1.007 
0.583 1.576 1.576 
0.217 1.106 1.106 
0.384 0.744 0.744 
0.350 1.608 1.608 
0.502 2.090 2.090 
0.518 1.992 1.992 
0.283 1.871 1.871 
0.401 2.418 2.418 
0.384 0.788 0.788 
0.467 1.423 1.423 
0.483 1.215 1.215 
0.500 1.105 1.105 
0.317 1.488 1.488 
0.468 1.106 1.106 
0.467 1.762 1.762 
0.267 1.358 1.358 
0.251 0.930 0.930 
0.400 1.258 1.258 
0.584 1.718 1.718 
0.334 1.138 1.138 
0.433 2.188 2.188 
0.300 1.478 1.478 
0.500 2.363 2.363 
0.300 2.877 2.877 
0.400 2.352 2.352 
0.483 1.281 1.281 
0.550 1.390 1.390 
0.584 0.886 0.886 
0.417 1.082 1.082 
0.250 1.280 1.280 
0.266 1.192 1.192 
0.301 1.160 1.160 
0.534 0.996 0.996 
0.301 1.346 1.346 
0.534 2.527 2.527 
0.300 1.313 1.313 
0.568 1.095 1.095 
0.350 2.814 2.814 
0.284 1.730 1.730 
0.300 2.101 2.101 
0.452 1.675 1.675 
0.384 1.357 1.357 
0.350 1.347 1.347 
0.534 1.040 1.040 
0.434 1.991 1.991 
0.417 1.477 1.477 
0.567 1.368 1.368 
0.318 1.028 1.028 
0.500 1.171 1.171 
0.501 1.324 1.324 
0.350 2.068 2.068 
0.433 1.291 1.291 
0.233 1.838 1.838 
0.217 1.171 1.171 
0.418 2.768 2.768 
0.517 2.846 2.846 
0.583 1.269 1.269 
0.251 1.193 1.193 
0.434 1.313 1.313 
0.384 2.177 2.177 
0.199 1.455 1.455 
0.334 1.696 1.696 
0.268 1.259 1.259 
0.517 0.996 0.996 
0.333 1.619 1.619 
