<><><><><><><><> 
Begin: 06-Feb-2014 18:31:01 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s12 Run Number: 4 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.295 0.465 
0.634 0.284 0.442 
0.868 0.295 0.442 
0.883 0.241 0.241 
0.834 0.295 0.991 
0.450 0.306 1.006 
0.567 0.296 0.410 
0.801 0.295 1.001 
0.284 0.306 1.006 
0.282 0.306 0.481 
0.418 0.295 0.990 
0.617 0.295 0.466 
0.986 0.285 0.454 
0.769 0.284 0.284 
0.451 0.295 0.991 
0.433 0.295 1.001 
0.885 0.296 0.498 
0.935 0.295 0.988 
0.717 0.295 0.990 
0.401 0.306 1.006 
0.267 0.306 1.005 
0.868 0.296 0.496 
0.669 0.296 1.000 
0.968 0.284 0.990 
0.250 0.296 1.001 
0.667 0.295 0.466 
0.434 0.295 0.508 
0.868 0.296 0.990 
0.351 0.296 1.001 
0.552 0.296 0.464 
0.517 0.295 0.519 
0.869 0.284 0.990 
0.751 0.284 0.990 
0.366 0.295 0.443 
0.451 0.296 0.420 
0.317 0.284 0.399 
0.735 0.295 0.295 
0.667 0.284 0.990 
0.334 0.296 0.432 
0.318 0.296 1.000 
0.585 0.296 0.629 
0.934 0.285 0.421 
0.650 0.284 0.990 
0.233 0.295 0.311 
0.250 0.285 0.486 
0.851 0.284 0.990 
0.567 0.295 0.990 
0.517 0.285 0.990 
0.833 0.295 0.990 
0.499 0.284 0.990 
0.633 0.285 0.990 
0.768 0.295 1.001 
0.902 0.295 0.333 
0.468 0.295 0.989 
0.717 0.296 1.001 
0.985 0.296 0.387 
0.267 0.295 0.332 
0.667 0.295 0.311 
0.533 0.252 0.252 
0.450 0.295 1.000 
0.417 0.295 0.312 
0.818 0.285 0.990 
1.001 0.295 0.990 
0.350 0.295 1.000 
0.834 0.284 0.410 
0.366 0.285 0.990 
1.001 0.285 0.989 
0.850 0.284 0.312 
0.534 0.307 0.997 
0.785 0.296 1.000 
0.602 0.296 0.989 
0.850 0.295 0.367 
0.484 0.295 1.002 
0.267 0.284 0.990 
0.668 0.296 0.296 
0.935 0.285 0.562 
0.351 0.296 0.322 
0.550 0.296 0.990 
0.801 0.295 1.001 
0.234 0.295 0.989 
0.967 0.284 0.465 
0.817 0.295 0.991 
0.651 0.296 0.574 
0.350 0.296 0.989 
0.602 0.296 0.989 
0.617 0.296 0.989 
1.002 0.295 0.989 
0.884 0.295 0.432 
0.969 0.295 1.000 
0.751 0.284 0.990 
0.533 0.284 0.989 
0.950 0.295 1.000 
0.585 0.296 0.476 
0.383 0.295 1.001 
0.517 0.296 1.002 
0.767 0.295 0.455 
0.651 0.295 0.990 
0.800 0.306 0.448 
1.002 0.296 0.322 
0.967 0.295 1.000 
0.635 0.296 0.989 
0.968 0.295 0.497 
0.300 0.284 0.990 
0.249 0.066 0.066 
0.451 0.295 0.488 
0.667 0.296 0.992 
0.634 0.284 0.989 
0.917 0.306 0.996 
0.634 0.295 0.355 
0.550 0.295 0.989 
0.633 0.295 1.001 
