<><><><><><><><> 
Begin: 06-Feb-2014 18:14:10 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4331
For more info visit:
https 
Subjid: s12 Run Number: 1 
<><><><><><><><> 
Columns info in data file: 
1. display side (left 1/right 0) 2. # indvd  3. # gend  
4. response (1-m, 2-f) 5. acc 6. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 0.292 1.000 
0.634 0.285 0.727 
0.869 0.295 0.497 
0.884 0.295 0.563 
0.833 0.295 0.814 
0.450 0.307 0.711 
0.568 0.296 0.836 
0.802 0.296 0.677 
0.283 0.306 0.592 
0.285 0.295 0.629 
0.418 0.295 0.640 
0.618 0.296 0.671 
0.984 0.296 0.628 
0.768 0.295 0.575 
0.450 0.295 0.530 
0.434 0.296 0.409 
0.883 0.295 0.728 
0.935 0.296 0.989 
0.716 0.296 0.651 
0.401 0.295 0.607 
0.266 0.306 0.700 
0.868 0.295 0.662 
0.667 0.295 0.684 
0.968 0.285 0.760 
0.249 0.296 0.694 
0.667 0.295 0.838 
0.435 0.295 0.727 
0.868 0.295 0.727 
0.350 0.296 1.001 
0.551 0.296 0.749 
0.517 0.295 0.749 
0.868 0.295 0.892 
0.750 0.284 0.804 
0.366 0.295 0.696 
0.466 0.284 0.749 
0.317 0.284 0.782 
0.735 0.296 0.727 
0.666 0.285 0.989 
0.333 0.241 0.241 
0.318 0.295 0.737 
0.585 0.295 0.693 
0.933 0.296 0.706 
0.650 0.284 0.728 
0.234 0.295 0.641 
0.251 0.285 0.683 
0.852 0.284 0.606 
0.567 0.296 0.628 
0.516 0.284 0.990 
0.835 0.295 0.640 
0.501 0.284 0.684 
0.634 0.285 0.683 
0.768 0.296 0.727 
0.902 0.296 0.672 
0.468 0.296 0.660 
0.716 0.296 0.739 
0.983 0.295 0.630 
0.268 0.295 0.825 
0.667 0.295 0.575 
0.533 0.296 0.564 
0.450 0.295 0.466 
0.418 0.295 0.454 
0.817 0.284 0.990 
1.001 0.296 0.739 
0.350 0.296 0.792 
0.833 0.285 0.640 
0.367 0.284 0.717 
1.002 0.285 0.584 
0.850 0.284 0.727 
0.534 0.307 0.492 
0.783 0.295 0.531 
0.600 0.296 0.618 
0.851 0.296 0.793 
0.484 0.296 1.001 
0.267 0.284 0.651 
0.668 0.307 0.614 
0.935 0.285 0.661 
0.351 0.307 0.548 
0.551 0.296 0.672 
0.802 0.295 0.574 
0.235 0.296 0.727 
0.968 0.285 0.749 
0.818 0.295 0.595 
0.650 0.296 0.542 
0.350 0.295 0.575 
0.600 0.296 0.869 
0.616 0.296 0.584 
1.002 0.296 0.463 
0.885 0.296 0.628 
0.967 0.296 0.443 
0.751 0.284 0.868 
0.533 0.284 0.628 
0.951 0.295 0.639 
0.584 0.296 0.554 
0.384 0.295 0.695 
0.516 0.296 0.641 
0.768 0.296 0.989 
0.651 0.295 0.825 
0.802 0.306 0.525 
1.001 0.295 0.661 
0.968 0.295 0.497 
0.635 0.285 0.529 
0.966 0.306 0.460 
0.300 0.285 0.496 
0.250 0.285 0.431 
0.450 0.296 0.389 
0.667 0.296 0.420 
0.634 0.284 0.596 
0.917 0.296 0.486 
0.635 0.295 0.541 
0.550 0.295 0.477 
0.634 0.295 0.455 
