<><><><><><><><> 
Begin: 09-Oct-2014 13:12:23 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 
Subjid: s35 Run Number: 6 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
1.001 2.701 2.701 
0.534 0.919 0.919 
0.567 2.209 2.209 
0.250 1.466 1.466 
0.567 1.006 1.006 
0.450 1.607 1.607 
0.234 2.844 2.844 
0.317 0.853 0.853 
0.417 0.907 0.907 
0.585 1.881 1.881 
0.584 0.864 0.864 
0.267 2.560 2.560 
0.583 1.246 1.246 
0.584 1.051 1.051 
0.401 0.876 0.876 
0.518 0.925 0.925 
0.266 0.832 0.832 
0.367 1.926 1.926 
0.567 0.952 0.952 
0.517 1.115 1.115 
0.583 0.907 0.907 
0.467 1.434 1.434 
0.217 1.301 1.301 
0.535 1.236 1.236 
0.584 1.589 1.589 
0.467 1.402 1.402 
0.501 1.006 1.006 
0.500 0.876 0.876 
0.367 1.312 1.312 
0.468 1.367 1.367 
0.267 0.875 0.875 
0.483 1.082 1.082 
0.216 0.996 0.996 
0.317 2.351 2.351 
0.217 1.258 1.258 
0.234 1.707 1.707 
0.533 1.346 1.346 
0.484 1.106 1.106 
0.334 2.078 2.078 
0.584 1.410 1.410 
0.217 1.171 1.171 
0.383 1.061 1.061 
0.350 0.854 0.854 
0.502 1.192 1.192 
0.517 1.640 1.640 
0.284 2.088 2.088 
0.400 2.462 2.462 
0.383 1.029 1.029 
0.467 1.236 1.236 
0.483 0.896 0.896 
0.501 1.071 1.071 
0.317 3.271 3.271 
0.467 1.489 1.489 
0.467 0.854 0.854 
0.267 1.478 1.478 
0.250 1.607 1.607 
0.401 1.127 1.127 
0.584 1.006 1.006 
0.333 1.170 1.170 
0.433 1.783 1.783 
0.300 2.504 2.504 
0.500 1.226 1.226 
0.301 1.466 1.466 
0.401 1.082 1.082 
0.483 2.713 2.713 
0.552 1.105 1.105 
0.584 1.006 1.006 
0.418 0.929 0.929 
0.250 3.127 3.127 
0.266 1.126 1.126 
0.300 1.312 1.312 
0.533 1.028 1.028 
0.301 0.875 0.875 
0.533 1.958 1.958 
0.300 1.093 1.093 
0.567 1.007 1.007 
0.334 1.236 1.236 
0.284 2.645 2.645 
0.300 1.224 1.224 
0.450 1.826 1.826 
0.400 1.630 1.630 
0.350 1.553 1.553 
0.533 1.346 1.346 
0.433 1.705 1.705 
0.417 1.160 1.160 
0.567 2.821 2.821 
0.317 2.070 2.070 
0.501 1.456 1.456 
0.500 1.672 1.672 
0.350 1.247 1.247 
0.433 2.229 2.229 
0.233 2.286 2.286 
0.217 0.854 0.854 
0.418 1.872 1.872 
0.518 2.230 2.230 
0.583 2.362 2.362 
0.250 2.165 2.165 
0.434 1.498 1.498 
0.384 1.433 1.433 
0.201 1.268 1.268 
0.334 1.663 1.663 
0.267 0.820 0.820 
0.517 0.918 0.918 
0.333 1.478 1.478 
